Customer_ID,Nationality,Membership_Level,Age_Group,Registration_Date,Preferred_Category
C-0183,JP,Non-Member,20s,2025-05-05,Souvenir
C-0184,TH,Silver,40s,2024-07-30,Confectionery
C-0185,GB,Non-Member,40s,2023-12-23,Tea
C-0186,GB,Non-Member,50s+,2025-03-20,Apparel
C-0187,SG,Non-Member,50s+,2025-09-17,Cosmetics
C-0188,CN,Non-Member,40s,2026-01-07,Honey
C-0189,US,Silver,30s,2026-01-14,Indigenous
C-0190,GB,Non-Member,30s,2024-04-03,Apparel
C-0191,CN,Non-Member,40s,2025-05-10,Cosmetics
C-0192,AU,Silver,40s,2023-06-14,Confectionery
C-0193,SG,Non-Member,50s+,2025-02-22,Confectionery
C-0194,CA,Gold,30s,2024-07-11,Indigenous
C-0195,JP,Silver,30s,2023-09-23,Cosmetics
C-0196,IN,Silver,50s+,2023-05-26,Tea
C-0197,JP,Silver,40s,2023-07-25,Confectionery
C-0198,CA,Silver,50s+,2024-01-10,Tea
C-0199,GB,Non-Member,20s,2024-05-09,Indigenous
C-0200,JP,Gold,50s+,2023-05-19,Tea
C-0201,AU,Non-Member,30s,2025-10-15,Liquor
C-0202,TH,Gold,30s,2024-04-21,Souvenir
C-0203,AU,Gold,30s,2023-04-02,Confectionery
C-0204,CN,Non-Member,40s,2025-12-10,Souvenir
C-0205,JP,Diamond,30s,2023-06-02,Confectionery
C-0206,CA,Non-Member,30s,2023-11-06,Apparel
C-0207,CN,Gold,50s+,2025-11-22,Liquor
C-0208,GB,Non-Member,30s,2025-10-18,Indigenous
C-0209,US,Silver,30s,2025-03-13,Indigenous
C-0210,AU,Non-Member,20s,2025-03-05,Cosmetics
C-0211,TH,Non-Member,30s,2024-06-09,Souvenir
C-0212,PH,Diamond,30s,2025-07-14,Confectionery
C-0213,JP,Non-Member,40s,2025-10-30,Confectionery
C-0214,AU,Non-Member,30s,2023-05-08,Confectionery
C-0215,US,Non-Member,40s,2024-01-04,Indigenous
C-0216,GB,Non-Member,30s,2025-10-06,Souvenir
C-0217,KR,Non-Member,20s,2025-08-01,Honey
C-0218,KR,Non-Member,20s,2025-05-27,Honey
C-0219,CN,Non-Member,50s+,2024-04-25,Honey
C-0220,CN,Non-Member,40s,2023-09-13,Honey
C-0221,PH,Diamond,40s,2023-12-28,Tea
C-0222,KR,Non-Member,20s,2025-04-15,Cosmetics
C-0223,US,Silver,40s,2023-05-29,Souvenir
C-0224,CA,Silver,40s,2025-09-30,Apparel
C-0225,PH,Gold,40s,2025-11-18,Souvenir
C-0226,JP,Diamond,40s,2024-04-27,Souvenir
C-0227,CN,Non-Member,20s,2025-03-21,Souvenir
C-0228,GB,Non-Member,30s,2024-04-07,Apparel
C-0229,PH,Gold,50s+,2023-06-03,Souvenir
C-0230,NZ,Silver,20s,2025-06-01,Confectionery
C-0231,AU,Silver,40s,2025-12-22,Confectionery
C-0232,GB,Silver,20s,2025-07-02,Tea
C-0233,KR,Diamond,20s,2023-08-21,Confectionery
C-0234,NZ,Silver,40s,2025-07-19,Confectionery
C-0235,KR,Silver,30s,2025-11-27,Jewellery
C-0236,KR,Silver,50s+,2025-04-30,Confectionery
C-0237,GB,Non-Member,20s,2026-02-14,Souvenir
C-0238,PH,Non-Member,50s+,2024-02-23,Souvenir
C-0239,CN,Silver,40s,2024-10-20,Cosmetics
C-0240,KR,Non-Member,20s,2024-09-18,Confectionery
C-0241,AU,Non-Member,20s,2023-09-19,Confectionery
C-0242,NZ,Gold,40s,2024-04-06,Souvenir
C-0243,CN,Non-Member,30s,2025-08-26,Cosmetics
C-0244,JP,Non-Member,50s+,2023-09-25,Souvenir
C-0245,KR,Silver,30s,2024-12-25,Honey
C-0246,KR,Gold,20s,2023-07-15,Cosmetics
C-0247,KR,Non-Member,20s,2023-09-01,Honey
C-0248,AU,Silver,30s,2024-02-19,Liquor
C-0249,KR,Silver,20s,2024-10-02,Cosmetics
C-0250,AU,Silver,40s,2024-01-24,Souvenir
C-0251,KR,Non-Member,50s+,2024-07-02,Honey
C-0252,IN,Non-Member,30s,2023-06-25,Confectionery
C-0253,PH,Silver,50s+,2024-02-28,Confectionery
C-0254,CN,Diamond,40s,2024-01-26,Honey
C-0255,AU,Non-Member,50s+,2023-03-31,Confectionery
C-0256,US,Non-Member,20s,2024-10-02,Indigenous
C-0257,AU,Non-Member,50s+,2025-09-15,Confectionery
C-0258,CN,Non-Member,20s,2024-06-30,Liquor
C-0259,PH,Silver,40s,2025-07-16,Confectionery
C-0260,CN,Non-Member,20s,2023-04-24,Confectionery
C-0261,GB,Non-Member,20s,2025-07-27,Apparel
C-0262,IN,Non-Member,30s,2025-02-23,Cosmetics
C-0263,CN,Non-Member,50s+,2024-02-28,Liquor
C-0264,IN,Non-Member,20s,2024-10-09,Souvenir
C-0265,CA,Diamond,20s,2023-07-28,Apparel
C-0266,JP,Silver,30s,2023-04-28,Confectionery
C-0267,NZ,Silver,40s,2025-08-12,Tea
C-0268,CN,Silver,50s+,2026-01-31,Confectionery
C-0269,TH,Non-Member,50s+,2025-02-15,Cosmetics
C-0270,JP,Gold,50s+,2024-08-27,Cosmetics
C-0271,CN,Non-Member,20s,2026-02-07,Cosmetics
C-0272,CN,Non-Member,40s,2024-12-31,Honey
C-0273,CN,Non-Member,30s,2023-11-25,Confectionery
C-0274,NZ,Non-Member,40s,2024-04-11,Tea
C-0275,US,Gold,50s+,2025-03-17,Indigenous
C-0276,AU,Non-Member,20s,2024-01-20,Confectionery
C-0277,KR,Non-Member,30s,2025-04-13,Confectionery
C-0278,CN,Gold,30s,2025-03-31,Honey
C-0279,US,Non-Member,20s,2025-12-14,Indigenous
C-0280,CN,Non-Member,40s,2024-03-25,Souvenir
C-0281,CA,Non-Member,50s+,2025-05-17,Souvenir
C-0282,NZ,Non-Member,40s,2024-08-05,Tea
C-0283,AU,Silver,20s,2025-02-13,Souvenir
C-0284,GB,Gold,20s,2025-04-24,Indigenous
C-0285,PH,Silver,50s+,2024-09-08,Cosmetics
C-0286,SG,Non-Member,50s+,2025-12-29,Cosmetics
C-0287,PH,Silver,50s+,2026-01-05,Confectionery
C-0288,GB,Gold,40s,2024-01-19,Indigenous
C-0289,AU,Non-Member,40s,2024-06-21,Liquor
C-0290,SG,Silver,40s,2023-04-12,Confectionery
C-0291,GB,Non-Member,50s+,2025-09-04,Indigenous
C-0292,NZ,Gold,30s,2024-06-25,Confectionery
C-0293,CA,Non-Member,20s,2025-10-25,Tea
C-0294,GB,Non-Member,50s+,2024-02-02,Tea
C-0295,AU,Gold,20s,2025-02-14,Confectionery
C-0296,SG,Gold,50s+,2025-02-17,Honey
C-0297,GB,Non-Member,30s,2024-01-13,Indigenous
C-0298,KR,Non-Member,20s,2026-03-10,Liquor
C-0299,CN,Silver,50s+,2024-09-12,Honey
C-0300,CN,Non-Member,30s,2023-07-24,Cosmetics
C-0301,GB,Gold,30s,2024-08-16,Apparel
C-0302,JP,Non-Member,20s,2026-03-03,Confectionery
C-0303,TH,Non-Member,20s,2025-12-12,Confectionery
C-0304,IN,Non-Member,40s,2024-07-11,Confectionery
C-0305,IN,Non-Member,50s+,2024-06-16,Tea
C-0306,CN,Non-Member,40s,2025-02-21,Confectionery
C-0307,CA,Diamond,20s,2023-06-17,Apparel
C-0308,US,Non-Member,40s,2025-03-22,Souvenir
C-0309,IN,Non-Member,30s,2024-06-24,Tea
C-0310,PH,Silver,30s,2025-08-07,Souvenir
C-0311,JP,Silver,40s,2024-11-20,Souvenir
C-0312,GB,Silver,40s,2024-01-21,Souvenir
C-0313,AU,Non-Member,40s,2025-07-24,Souvenir
C-0314,AU,Silver,40s,2025-03-19,Confectionery
C-0315,AU,Gold,20s,2025-06-29,Confectionery
C-0316,CA,Non-Member,20s,2025-03-05,Indigenous
C-0317,CA,Non-Member,30s,2024-03-11,Indigenous
C-0318,AU,Non-Member,50s+,2025-09-25,Souvenir
C-0319,AU,Non-Member,40s,2024-12-16,Souvenir
C-0320,KR,Non-Member,50s+,2024-03-04,Cosmetics
C-0321,SG,Non-Member,50s+,2025-03-21,Cosmetics
C-0322,JP,Gold,20s,2024-03-12,Confectionery
C-0323,JP,Silver,20s,2025-04-12,Souvenir
C-0324,CN,Non-Member,20s,2025-10-17,Honey
C-0325,CN,Silver,20s,2025-03-20,Honey
C-0326,IN,Non-Member,50s+,2025-07-20,Souvenir
C-0327,JP,Silver,50s+,2023-12-29,Souvenir
C-0328,AU,Non-Member,20s,2025-09-25,Confectionery
C-0329,CN,Silver,40s,2023-10-27,Cosmetics
C-0330,JP,Non-Member,20s,2025-11-20,Confectionery
C-0331,JP,Non-Member,20s,2024-02-20,Confectionery
C-0332,GB,Diamond,50s+,2024-02-06,Souvenir
C-0333,AU,Non-Member,20s,2025-02-26,Cosmetics
C-0334,AU,Silver,30s,2024-02-06,Souvenir
C-0335,PH,Non-Member,20s,2024-12-05,Souvenir
C-0336,US,Diamond,20s,2024-02-22,Apparel
C-0337,KR,Non-Member,40s,2026-02-19,Liquor
C-0338,GB,Non-Member,50s+,2023-11-20,Tea
C-0339,AU,Non-Member,20s,2025-11-29,Confectionery
C-0340,NZ,Non-Member,30s,2024-08-17,Souvenir
C-0341,CN,Gold,40s,2023-09-05,Honey
C-0342,CN,Silver,50s+,2023-12-15,Souvenir
C-0343,AU,Silver,20s,2025-11-19,Liquor
C-0344,CN,Gold,50s+,2024-06-11,Liquor
C-0345,KR,Non-Member,20s,2025-01-27,Cosmetics
C-0346,KR,Silver,30s,2023-05-02,Cosmetics
C-0347,JP,Non-Member,40s,2026-01-08,Tea
C-0348,PH,Non-Member,20s,2024-02-29,Confectionery
C-0349,CN,Non-Member,40s,2025-05-16,Souvenir
C-0350,CN,Non-Member,20s,2026-02-18,Souvenir
C-0351,US,Non-Member,20s,2025-09-13,Souvenir
C-0352,TH,Gold,20s,2025-07-30,Tea
C-0353,KR,Non-Member,30s,2024-04-14,Cosmetics
C-0354,CN,Non-Member,40s,2026-01-29,Confectionery
C-0355,AU,Non-Member,40s,2024-07-22,Cosmetics
C-0356,CN,Gold,30s,2024-02-09,Cosmetics
C-0357,GB,Non-Member,50s+,2025-03-11,Apparel
C-0358,AU,Non-Member,20s,2025-04-11,Confectionery
C-0359,AU,Non-Member,50s+,2024-07-29,Confectionery
C-0360,AU,Non-Member,30s,2023-12-25,Cosmetics
C-0361,KR,Silver,30s,2023-08-31,Cosmetics
C-0362,CN,Non-Member,30s,2023-06-06,Liquor
C-0363,SG,Silver,20s,2023-04-13,Cosmetics
C-0364,GB,Non-Member,40s,2025-12-17,Tea
C-0365,CA,Non-Member,40s,2024-03-19,Apparel
C-0366,IN,Silver,30s,2023-11-30,Souvenir
C-0367,TH,Non-Member,30s,2024-05-15,Souvenir
C-0368,JP,Gold,30s,2025-07-28,Cosmetics
C-0369,NZ,Non-Member,20s,2025-12-20,Cosmetics
C-0370,PH,Non-Member,40s,2023-07-19,Souvenir
C-0371,AU,Diamond,50s+,2024-06-12,Cosmetics
C-0372,US,Non-Member,40s,2024-04-23,Apparel
C-0373,KR,Diamond,50s+,2024-09-28,Cosmetics
C-0374,CN,Non-Member,20s,2024-09-14,Cosmetics
C-0375,IN,Silver,40s,2025-07-26,Confectionery
C-0376,NZ,Non-Member,20s,2024-03-25,Tea
C-0377,GB,Silver,30s,2024-10-04,Apparel
C-0378,TH,Non-Member,20s,2023-07-21,Souvenir
C-0379,GB,Gold,30s,2024-10-12,Apparel
C-0380,KR,Non-Member,30s,2023-04-21,Honey
C-0381,PH,Non-Member,20s,2023-10-30,Tea
C-0382,SG,Non-Member,30s,2025-05-16,Honey
C-0383,US,Silver,30s,2025-11-02,Apparel
C-0384,AU,Diamond,20s,2023-05-03,Cosmetics
C-0385,GB,Silver,20s,2023-06-20,Apparel
C-0386,CN,Silver,50s+,2024-01-29,Souvenir
C-0387,SG,Non-Member,20s,2025-05-27,Confectionery
C-0388,PH,Diamond,40s,2025-09-05,Souvenir
C-0389,US,Gold,20s,2024-04-09,Souvenir
C-0390,KR,Non-Member,30s,2023-03-30,Confectionery
C-0391,CN,Gold,20s,2025-02-23,Souvenir
C-0392,JP,Silver,20s,2024-07-26,Souvenir
C-0393,NZ,Non-Member,50s+,2023-06-05,Confectionery
C-0394,CN,Non-Member,50s+,2025-04-23,Cosmetics
C-0395,CN,Gold,50s+,2024-05-20,Cosmetics
C-0396,JP,Silver,50s+,2026-01-08,Souvenir
C-0397,CN,Diamond,30s,2023-09-04,Honey
C-0398,AU,Gold,40s,2023-04-23,Confectionery
C-0399,SG,Non-Member,20s,2024-08-18,Honey
C-0400,IN,Silver,50s+,2024-06-02,Confectionery
C-0401,CN,Non-Member,50s+,2025-11-10,Honey
C-0402,JP,Non-Member,40s,2023-05-01,Souvenir
C-0403,CN,Silver,50s+,2023-05-27,Honey
C-0404,JP,Non-Member,20s,2023-05-02,Confectionery
C-0405,IN,Non-Member,40s,2024-05-18,Souvenir
C-0406,CN,Gold,20s,2024-01-27,Confectionery
C-0407,JP,Non-Member,30s,2023-09-10,Souvenir
C-0408,KR,Silver,50s+,2025-01-26,Confectionery
C-0409,SG,Silver,50s+,2024-07-04,Confectionery
C-0410,KR,Non-Member,30s,2023-11-05,Honey
C-0411,KR,Silver,30s,2024-02-06,Confectionery
C-0412,JP,Non-Member,30s,2023-09-03,Souvenir
C-0413,NZ,Non-Member,40s,2023-10-29,Cosmetics
C-0414,IN,Silver,40s,2026-02-24,Confectionery
C-0415,AU,Silver,50s+,2026-01-05,Confectionery
C-0416,US,Silver,40s,2024-05-07,Apparel
C-0417,US,Non-Member,40s,2024-05-20,Souvenir
C-0418,PH,Non-Member,40s,2023-05-26,Souvenir
C-0419,CA,Silver,20s,2024-07-19,Souvenir
C-0420,GB,Non-Member,30s,2024-03-05,Apparel
C-0421,GB,Gold,50s+,2025-01-06,Apparel
C-0422,PH,Silver,40s,2023-11-06,Confectionery
C-0423,JP,Non-Member,40s,2024-07-08,Confectionery
C-0424,GB,Non-Member,40s,2026-03-06,Indigenous
C-0425,US,Silver,50s+,2026-03-23,Souvenir
C-0426,AU,Silver,30s,2026-03-14,Confectionery
C-0427,CA,Diamond,30s,2024-04-01,Souvenir
C-0428,CN,Gold,40s,2025-03-28,Cosmetics
C-0429,KR,Non-Member,20s,2025-02-05,Cosmetics
C-0430,CN,Non-Member,30s,2024-05-11,Cosmetics
C-0431,NZ,Silver,20s,2023-10-30,Cosmetics
C-0432,US,Non-Member,20s,2025-02-15,Souvenir
C-0433,JP,Silver,40s,2025-09-12,Confectionery
C-0434,AU,Diamond,20s,2023-05-08,Confectionery
C-0435,KR,Non-Member,30s,2023-05-29,Confectionery
C-0436,SG,Non-Member,40s,2023-06-02,Tea
C-0437,AU,Gold,50s+,2024-12-10,Cosmetics
C-0438,CN,Non-Member,20s,2024-01-27,Liquor
C-0439,KR,Silver,20s,2024-11-22,Jewellery
C-0440,US,Non-Member,20s,2024-12-01,Souvenir
C-0441,GB,Non-Member,20s,2024-07-26,Indigenous
C-0442,IN,Silver,50s+,2025-08-21,Souvenir
C-0443,SG,Silver,50s+,2024-02-11,Honey
C-0444,CN,Silver,20s,2024-05-15,Honey
C-0445,AU,Gold,40s,2024-04-17,Liquor
C-0446,US,Non-Member,50s+,2024-07-18,Indigenous
C-0447,CN,Silver,50s+,2023-12-31,Honey
C-0448,US,Gold,50s+,2024-08-04,Indigenous
C-0449,IN,Silver,40s,2023-11-19,Cosmetics
C-0450,GB,Non-Member,30s,2025-11-02,Souvenir
C-0451,CN,Non-Member,20s,2026-02-18,Cosmetics
C-0452,CN,Non-Member,40s,2023-06-09,Honey
C-0453,US,Non-Member,40s,2023-06-15,Souvenir
C-0454,US,Silver,30s,2026-02-21,Indigenous
C-0455,CA,Non-Member,40s,2024-09-03,Indigenous
C-0456,US,Silver,50s+,2023-09-08,Apparel
C-0457,AU,Non-Member,50s+,2025-04-22,Cosmetics
C-0458,NZ,Gold,30s,2024-12-01,Honey
C-0459,NZ,Diamond,20s,2024-04-24,Souvenir
C-0460,GB,Non-Member,40s,2025-02-06,Tea
C-0461,NZ,Silver,30s,2024-07-07,Souvenir
C-0462,NZ,Silver,30s,2024-05-01,Tea
C-0463,US,Non-Member,20s,2025-06-05,Indigenous
C-0464,CN,Non-Member,40s,2025-01-18,Confectionery
C-0465,CN,Non-Member,40s,2025-12-25,Cosmetics
C-0466,GB,Gold,20s,2024-02-26,Indigenous
C-0467,AU,Non-Member,40s,2023-10-07,Confectionery
C-0468,KR,Silver,20s,2024-10-31,Liquor
C-0469,CA,Diamond,50s+,2023-06-04,Indigenous
C-0470,NZ,Non-Member,40s,2025-10-12,Confectionery
C-0471,KR,Gold,30s,2024-11-10,Honey
C-0472,JP,Non-Member,30s,2023-04-22,Tea
C-0473,US,Silver,20s,2025-09-05,Souvenir
C-0474,JP,Silver,30s,2024-12-02,Tea
C-0475,GB,Non-Member,20s,2026-02-02,Indigenous
C-0476,PH,Silver,40s,2025-06-27,Souvenir
C-0477,CN,Non-Member,40s,2025-09-01,Confectionery
C-0478,US,Non-Member,20s,2023-12-31,Apparel
