Trans_ID,Line_No,Product_SKU,Category,Quantity,Unit_Price,Line_Amount,Line_Cost,Gross_Profit,Promo_ID
T-00034,2,SKU-049,Souvenir,5,25.0,125.0,43.75,81.25,
T-00035,1,SKU-083,Apparel,1,180.0,180.0,72.0,108.0,
T-00036,1,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00036,2,SKU-086,Apparel,2,27.0,54.0,21.6,32.4,
T-00037,1,SKU-027,Liquor,2,210.0,420.0,231.0,189.0,
T-00037,2,SKU-106,Tea,5,22.0,110.0,44.0,66.0,
T-00038,1,SKU-004,Cosmetics,5,60.0,300.0,120.0,180.0,
T-00038,2,SKU-004,Cosmetics,3,60.0,180.0,72.0,108.0,
T-00039,1,SKU-102,Indigenous,4,9.0,36.0,10.8,25.2,
T-00039,2,SKU-053,Souvenir,4,45.0,180.0,63.0,117.0,
T-00040,1,SKU-016,Cosmetics,2,42.0,84.0,33.6,50.4,
T-00040,2,SKU-011,Cosmetics,6,9.0,45.0,21.6,23.4,IP-01
T-00041,1,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00041,2,SKU-080,Apparel,1,55.0,55.0,22.0,33.0,
T-00042,1,SKU-090,Honey,4,170.0,680.0,306.0,374.0,
T-00042,2,SKU-020,Liquor,4,120.0,480.0,264.0,216.0,
T-00042,3,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00043,1,SKU-051,Souvenir,4,18.0,72.0,25.2,46.8,
T-00044,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00044,2,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00045,1,SKU-037,Jewellery,1,520.0,520.0,208.0,312.0,
T-00046,1,SKU-033,Liquor,2,52.0,104.0,57.2,46.8,
T-00046,2,SKU-051,Souvenir,2,18.0,36.0,12.6,23.4,
T-00046,3,SKU-010,Cosmetics,4,10.0,40.0,16.0,24.0,
T-00047,1,SKU-082,Apparel,2,110.0,220.0,88.0,132.0,
T-00048,1,SKU-051,Souvenir,4,18.0,72.0,25.2,46.8,
T-00049,1,SKU-014,Cosmetics,4,27.0,108.0,43.2,64.8,
T-00049,2,SKU-027,Liquor,2,210.0,420.0,231.0,189.0,
T-00049,3,SKU-053,Souvenir,1,45.0,45.0,15.75,29.25,
T-00050,1,SKU-048,Souvenir,4,20.0,80.0,28.0,52.0,
T-00050,2,SKU-048,Souvenir,1,20.0,20.0,7.0,13.0,
T-00050,3,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00051,1,SKU-046,Souvenir,1,12.0,12.0,4.2,7.8,
T-00052,1,SKU-096,Indigenous,5,55.0,275.0,82.5,192.5,
T-00052,2,SKU-044,Jewellery,1,150.0,150.0,60.0,90.0,
T-00053,1,SKU-050,Souvenir,1,10.0,10.0,3.5,6.5,
T-00054,1,SKU-015,Cosmetics,3,11.0,33.0,13.2,19.8,
T-00055,1,SKU-053,Souvenir,2,45.0,90.0,31.5,58.5,
T-00056,1,SKU-048,Souvenir,2,20.0,40.0,14.0,26.0,
T-00056,2,SKU-055,Souvenir,1,45.0,45.0,15.75,29.25,
T-00056,3,SKU-066,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00057,1,SKU-005,Cosmetics,1,9.0,9.0,3.6,5.4,
T-00058,1,SKU-068,Confectionery,1,22.0,22.0,11.0,11.0,
T-00058,2,SKU-061,Confectionery,4,7.0,28.0,14.0,14.0,
T-00059,1,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00060,1,SKU-007,Cosmetics,1,45.0,45.0,18.0,27.0,
T-00060,2,SKU-045,Jewellery,1,200.0,200.0,80.0,120.0,
T-00061,1,SKU-048,Souvenir,2,20.0,40.0,14.0,26.0,
T-00062,1,SKU-050,Souvenir,4,10.0,40.0,14.0,26.0,
T-00062,2,SKU-088,Honey,1,60.0,60.0,27.0,33.0,
T-00063,1,SKU-055,Souvenir,2,45.0,90.0,31.5,58.5,
T-00064,1,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00065,1,SKU-050,Souvenir,3,10.0,30.0,10.5,19.5,
T-00066,1,SKU-088,Honey,4,60.0,240.0,108.0,132.0,
T-00066,2,SKU-088,Honey,3,60.0,180.0,81.0,99.0,
T-00067,1,SKU-092,Honey,3,75.0,225.0,101.25,123.75,
T-00068,1,SKU-081,Apparel,1,80.0,80.0,32.0,48.0,
T-00068,2,SKU-010,Cosmetics,2,10.0,20.0,8.0,12.0,
T-00068,3,SKU-006,Cosmetics,1,22.0,22.0,8.8,13.2,
T-00069,1,SKU-071,Confectionery,4,22.0,88.0,44.0,44.0,
T-00069,2,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00069,3,SKU-094,Honey,1,45.0,45.0,20.25,24.75,
T-00069,4,SKU-046,Souvenir,4,12.0,48.0,16.8,31.2,
T-00070,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00070,2,SKU-041,Jewellery,3,90.0,270.0,108.0,162.0,
T-00071,1,SKU-012,Cosmetics,2,12.0,24.0,9.6,14.4,
T-00072,1,SKU-089,Honey,2,90.0,180.0,81.0,99.0,
T-00073,1,SKU-081,Apparel,1,80.0,80.0,32.0,48.0,
T-00073,2,SKU-061,Confectionery,1,7.0,7.0,3.5,3.5,
T-00074,1,SKU-014,Cosmetics,1,27.0,27.0,10.8,16.2,
T-00075,1,SKU-006,Cosmetics,2,22.0,44.0,17.6,26.4,
T-00076,1,SKU-106,Tea,3,22.0,66.0,26.4,39.6,
T-00076,2,SKU-046,Souvenir,2,12.0,24.0,8.4,15.6,
T-00076,3,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00076,4,SKU-066,Confectionery,1,7.0,7.0,3.5,3.5,
T-00077,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00077,2,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00077,3,SKU-106,Tea,2,22.0,44.0,17.6,26.4,
T-00078,1,SKU-101,Indigenous,3,24.0,72.0,21.6,50.4,
T-00079,1,SKU-050,Souvenir,2,10.0,20.0,7.0,13.0,
T-00080,1,SKU-066,Confectionery,2,7.0,14.0,7.0,7.0,
T-00080,2,SKU-064,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00081,1,SKU-093,Honey,4,35.0,140.0,63.0,77.0,
T-00081,2,SKU-094,Honey,5,45.0,225.0,101.25,123.75,
T-00081,3,SKU-094,Honey,1,45.0,45.0,20.25,24.75,
T-00082,1,SKU-092,Honey,4,75.0,300.0,135.0,165.0,
T-00082,2,SKU-094,Honey,4,45.0,180.0,81.0,99.0,
T-00082,3,SKU-092,Honey,1,75.0,75.0,33.75,41.25,
T-00083,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00083,2,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00083,3,SKU-004,Cosmetics,1,60.0,60.0,24.0,36.0,
T-00083,4,SKU-002,Cosmetics,1,12.0,12.0,4.8,7.2,
T-00084,1,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00084,2,SKU-061,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00085,1,SKU-100,Indigenous,1,14.0,14.0,4.2,9.8,
T-00086,1,SKU-062,Confectionery,3,7.0,21.0,10.5,10.5,
T-00087,1,SKU-056,Souvenir,3,18.0,54.0,18.9,35.1,
T-00087,2,SKU-092,Honey,1,75.0,75.0,33.75,41.25,
T-00087,3,SKU-014,Cosmetics,4,27.0,108.0,43.2,64.8,
T-00087,4,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00088,1,SKU-087,Honey,1,45.0,45.0,20.25,24.75,
T-00088,2,SKU-063,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00088,3,SKU-061,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00089,1,SKU-064,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00090,1,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00091,1,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00092,1,SKU-064,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00093,1,SKU-089,Honey,3,90.0,270.0,121.5,148.5,
T-00094,1,SKU-037,Jewellery,2,520.0,1040.0,416.0,624.0,
T-00095,1,SKU-107,Tea,2,42.0,84.0,33.6,50.4,
T-00095,2,SKU-060,Confectionery,1,7.0,7.0,3.5,3.5,
T-00095,3,SKU-011,Cosmetics,1,9.0,9.0,3.6,5.4,
T-00096,1,SKU-033,Liquor,1,52.0,52.0,28.6,23.4,
T-00096,2,SKU-033,Liquor,1,52.0,52.0,28.6,23.4,
T-00096,3,SKU-106,Tea,2,22.0,44.0,17.6,26.4,
T-00097,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00097,2,SKU-049,Souvenir,2,25.0,50.0,17.5,32.5,
T-00098,1,SKU-102,Indigenous,2,9.0,18.0,5.4,12.6,
T-00099,1,SKU-095,Indigenous,2,28.0,56.0,16.8,39.2,
T-00099,2,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00100,1,SKU-054,Souvenir,1,18.0,18.0,6.3,11.7,
T-00101,1,SKU-061,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00102,1,SKU-097,Indigenous,1,110.0,110.0,33.0,77.0,
T-00103,1,SKU-051,Souvenir,1,18.0,18.0,6.3,11.7,
T-00104,1,SKU-107,Tea,4,42.0,168.0,67.2,100.8,
T-00105,1,SKU-011,Cosmetics,6,9.0,45.0,21.6,23.4,IP-01
T-00105,2,SKU-056,Souvenir,3,18.0,54.0,18.9,35.1,
T-00106,1,SKU-089,Honey,3,90.0,270.0,121.5,148.5,
T-00106,2,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00106,3,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00106,4,SKU-051,Souvenir,3,18.0,54.0,18.9,35.1,
T-00107,1,SKU-008,Cosmetics,3,9.0,27.0,10.8,16.2,
T-00107,2,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00108,1,SKU-046,Souvenir,3,12.0,36.0,12.6,23.4,
T-00108,2,SKU-083,Apparel,2,180.0,360.0,144.0,216.0,
T-00109,1,SKU-030,Liquor,1,72.0,72.0,39.6,32.4,
T-00110,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00111,1,SKU-010,Cosmetics,1,10.0,10.0,4.0,6.0,
T-00112,1,SKU-099,Indigenous,1,55.0,55.0,16.5,38.5,
T-00113,1,SKU-053,Souvenir,2,45.0,90.0,31.5,58.5,
T-00113,2,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00113,3,SKU-040,Jewellery,3,75.0,225.0,90.0,135.0,
T-00113,4,SKU-107,Tea,2,42.0,84.0,33.6,50.4,
T-00114,1,SKU-004,Cosmetics,1,60.0,60.0,24.0,36.0,
T-00114,2,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00115,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00116,1,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00116,2,SKU-075,Confectionery,1,36.0,36.0,18.0,18.0,
T-00117,1,SKU-004,Cosmetics,1,60.0,60.0,24.0,36.0,
T-00118,1,SKU-075,Confectionery,5,36.0,180.0,90.0,90.0,
T-00119,1,SKU-106,Tea,5,22.0,110.0,44.0,66.0,
T-00120,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00120,2,SKU-081,Apparel,2,80.0,160.0,64.0,96.0,
T-00120,3,SKU-102,Indigenous,1,9.0,9.0,2.7,6.3,
T-00120,4,SKU-101,Indigenous,3,24.0,72.0,21.6,50.4,
T-00121,1,SKU-082,Apparel,2,110.0,220.0,88.0,132.0,
T-00121,2,SKU-055,Souvenir,1,45.0,45.0,15.75,29.25,
T-00122,1,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00123,1,SKU-049,Souvenir,1,25.0,25.0,8.75,16.25,
T-00123,2,SKU-092,Honey,4,75.0,300.0,135.0,165.0,
T-00124,1,SKU-007,Cosmetics,2,45.0,90.0,36.0,54.0,
T-00125,1,SKU-001,Cosmetics,3,8.0,24.0,9.6,14.4,
T-00125,2,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00126,1,SKU-063,Confectionery,1,7.0,7.0,3.5,3.5,
T-00126,2,SKU-004,Cosmetics,3,60.0,180.0,72.0,108.0,
T-00126,3,SKU-056,Souvenir,2,18.0,36.0,12.6,23.4,
T-00126,4,SKU-014,Cosmetics,1,27.0,27.0,10.8,16.2,
T-00127,1,SKU-095,Indigenous,4,28.0,112.0,33.6,78.4,
T-00127,2,SKU-025,Liquor,5,62.0,310.0,170.5,139.5,
T-00128,1,SKU-072,Confectionery,1,35.0,35.0,17.5,17.5,
T-00128,2,SKU-021,Liquor,1,999.0,999.0,549.45,449.55,
T-00129,1,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00130,1,SKU-081,Apparel,1,80.0,80.0,32.0,48.0,
T-00130,2,SKU-047,Souvenir,2,9.0,18.0,6.3,11.7,
T-00130,3,SKU-095,Indigenous,1,28.0,28.0,8.4,19.6,
T-00131,1,SKU-011,Cosmetics,2,9.0,18.0,7.2,10.8,
T-00131,2,SKU-014,Cosmetics,1,27.0,27.0,10.8,16.2,
T-00132,1,SKU-079,Apparel,1,40.0,40.0,16.0,24.0,
T-00133,1,SKU-089,Honey,4,90.0,360.0,162.0,198.0,
T-00134,1,SKU-065,Confectionery,4,7.0,28.0,14.0,14.0,
T-00134,2,SKU-076,Confectionery,4,11.0,44.0,22.0,22.0,
T-00134,3,SKU-001,Cosmetics,3,8.0,24.0,9.6,14.4,
T-00135,1,SKU-002,Cosmetics,2,12.0,24.0,9.6,14.4,
T-00136,1,SKU-010,Cosmetics,3,10.0,30.0,12.0,18.0,
T-00136,2,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00136,3,SKU-003,Cosmetics,4,36.0,144.0,57.6,86.4,
T-00137,1,SKU-053,Souvenir,2,45.0,90.0,31.5,58.5,
T-00138,1,SKU-036,Jewellery,1,220.0,220.0,88.0,132.0,
T-00138,2,SKU-076,Confectionery,1,11.0,11.0,5.5,5.5,
T-00138,3,SKU-090,Honey,1,170.0,170.0,76.5,93.5,
T-00139,1,SKU-003,Cosmetics,1,36.0,36.0,14.4,21.6,
T-00139,2,SKU-073,Confectionery,3,13.0,39.0,19.5,19.5,
T-00139,3,SKU-005,Cosmetics,1,9.0,9.0,3.6,5.4,
T-00140,1,SKU-040,Jewellery,1,75.0,75.0,30.0,45.0,
T-00141,1,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00141,2,SKU-047,Souvenir,1,9.0,9.0,3.15,5.85,
T-00142,1,SKU-066,Confectionery,1,7.0,7.0,3.5,3.5,
T-00143,1,SKU-106,Tea,4,22.0,88.0,35.2,52.8,
T-00143,2,SKU-014,Cosmetics,2,27.0,54.0,21.6,32.4,
T-00143,3,SKU-030,Liquor,1,72.0,72.0,39.6,32.4,
T-00143,4,SKU-052,Souvenir,4,18.0,72.0,25.2,46.8,
T-00144,1,SKU-087,Honey,1,45.0,45.0,20.25,24.75,
T-00144,2,SKU-007,Cosmetics,1,45.0,45.0,18.0,27.0,
T-00144,3,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00145,1,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00145,2,SKU-010,Cosmetics,1,10.0,10.0,4.0,6.0,
T-00145,3,SKU-050,Souvenir,1,10.0,10.0,3.5,6.5,
T-00146,1,SKU-051,Souvenir,5,18.0,90.0,31.5,58.5,
T-00146,2,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00147,1,SKU-073,Confectionery,2,13.0,26.0,13.0,13.0,
T-00147,2,SKU-064,Confectionery,3,7.0,21.0,10.5,10.5,
T-00147,3,SKU-093,Honey,1,35.0,35.0,15.75,19.25,
T-00148,1,SKU-048,Souvenir,1,20.0,20.0,7.0,13.0,
T-00148,2,SKU-080,Apparel,2,55.0,110.0,44.0,66.0,
T-00149,1,SKU-043,Jewellery,3,110.0,330.0,132.0,198.0,
T-00149,2,SKU-036,Jewellery,4,220.0,880.0,352.0,528.0,
T-00150,1,SKU-018,Liquor,4,115.0,460.0,253.0,207.0,
T-00150,2,SKU-012,Cosmetics,3,12.0,36.0,14.4,21.6,
T-00150,3,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00150,4,SKU-090,Honey,4,170.0,680.0,306.0,374.0,
T-00151,1,SKU-061,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00151,2,SKU-016,Cosmetics,1,42.0,42.0,16.8,25.2,
T-00151,3,SKU-011,Cosmetics,6,9.0,45.0,21.6,23.4,IP-01
T-00151,4,SKU-073,Confectionery,2,13.0,26.0,13.0,13.0,
T-00152,1,SKU-018,Liquor,1,115.0,115.0,63.25,51.75,
T-00152,2,SKU-058,Confectionery,1,16.0,16.0,8.0,8.0,
T-00152,3,SKU-042,Jewellery,5,65.0,325.0,130.0,195.0,
T-00152,4,SKU-019,Liquor,2,35.0,70.0,38.5,31.5,
T-00153,1,SKU-058,Confectionery,4,16.0,64.0,32.0,32.0,
T-00154,1,SKU-060,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00154,2,SKU-107,Tea,3,42.0,126.0,50.4,75.6,
T-00154,3,SKU-093,Honey,4,35.0,140.0,63.0,77.0,
T-00155,1,SKU-066,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00155,2,SKU-011,Cosmetics,1,9.0,9.0,3.6,5.4,
T-00156,1,SKU-052,Souvenir,2,18.0,36.0,12.6,23.4,
T-00157,1,SKU-098,Indigenous,5,25.0,125.0,37.5,87.5,
T-00157,2,SKU-026,Liquor,2,88.0,176.0,96.8,79.2,
T-00158,1,SKU-102,Indigenous,3,9.0,27.0,8.1,18.9,
T-00158,2,SKU-069,Confectionery,2,27.0,54.0,27.0,27.0,
T-00158,3,SKU-070,Confectionery,3,12.0,36.0,18.0,18.0,
T-00158,4,SKU-065,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00159,1,SKU-013,Cosmetics,1,18.0,18.0,7.2,10.8,
T-00159,2,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00160,1,SKU-052,Souvenir,1,18.0,18.0,6.3,11.7,
T-00161,1,SKU-003,Cosmetics,3,36.0,108.0,43.2,64.8,
T-00161,2,SKU-089,Honey,4,90.0,360.0,162.0,198.0,
T-00162,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00163,1,SKU-060,Confectionery,2,7.0,14.0,7.0,7.0,
T-00163,2,SKU-074,Confectionery,2,27.0,54.0,27.0,27.0,
T-00164,1,SKU-090,Honey,3,170.0,510.0,229.5,280.5,
T-00164,2,SKU-063,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00165,1,SKU-047,Souvenir,3,9.0,27.0,9.45,17.55,
T-00165,2,SKU-066,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00166,1,SKU-005,Cosmetics,5,9.0,45.0,18.0,27.0,
T-00166,2,SKU-106,Tea,1,22.0,22.0,8.8,13.2,
T-00166,3,SKU-067,Confectionery,1,22.0,22.0,11.0,11.0,
T-00167,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00168,1,SKU-071,Confectionery,2,22.0,44.0,22.0,22.0,
T-00169,1,SKU-095,Indigenous,1,28.0,28.0,8.4,19.6,
T-00169,2,SKU-042,Jewellery,5,65.0,325.0,130.0,195.0,
T-00170,1,SKU-019,Liquor,5,35.0,175.0,96.25,78.75,
T-00170,2,SKU-105,Indigenous,1,48.0,48.0,14.4,33.6,
T-00171,1,SKU-056,Souvenir,1,18.0,18.0,6.3,11.7,
T-00171,2,SKU-003,Cosmetics,2,36.0,72.0,28.8,43.2,
T-00171,3,SKU-005,Cosmetics,3,9.0,27.0,10.8,16.2,
T-00172,1,SKU-096,Indigenous,1,55.0,55.0,16.5,38.5,
T-00173,1,SKU-102,Indigenous,4,9.0,36.0,10.8,25.2,
T-00173,2,SKU-089,Honey,4,90.0,360.0,162.0,198.0,
T-00173,3,SKU-057,Confectionery,3,9.0,27.0,13.5,13.5,
T-00174,1,SKU-021,Liquor,1,999.0,999.0,549.45,449.55,
T-00174,2,SKU-076,Confectionery,1,11.0,11.0,5.5,5.5,
T-00174,3,SKU-024,Liquor,1,100.0,100.0,55.0,45.0,
T-00175,1,SKU-004,Cosmetics,1,60.0,60.0,24.0,36.0,
T-00175,2,SKU-091,Honey,4,55.0,220.0,99.0,121.0,
T-00176,1,SKU-082,Apparel,4,110.0,440.0,176.0,264.0,
T-00176,2,SKU-081,Apparel,1,80.0,80.0,32.0,48.0,
T-00176,3,SKU-056,Souvenir,2,18.0,36.0,12.6,23.4,
T-00176,4,SKU-047,Souvenir,2,9.0,18.0,6.3,11.7,
T-00177,1,SKU-105,Indigenous,5,48.0,240.0,72.0,168.0,
T-00178,1,SKU-080,Apparel,2,55.0,110.0,44.0,66.0,
T-00178,2,SKU-080,Apparel,5,55.0,275.0,110.0,165.0,
T-00178,3,SKU-085,Apparel,1,18.0,18.0,7.2,10.8,
T-00179,1,SKU-083,Apparel,4,180.0,720.0,288.0,432.0,
T-00180,1,SKU-100,Indigenous,2,14.0,28.0,8.4,19.6,
T-00181,1,SKU-015,Cosmetics,4,11.0,44.0,17.6,26.4,
T-00181,2,SKU-035,Jewellery,4,120.0,480.0,192.0,288.0,
T-00182,1,SKU-080,Apparel,1,55.0,55.0,22.0,33.0,
T-00183,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00184,1,SKU-010,Cosmetics,6,10.0,50.0,23.6,26.4,IP-01
T-00185,1,SKU-051,Souvenir,1,18.0,18.0,6.3,11.7,
T-00186,1,SKU-062,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
T-00187,1,SKU-108,Tea,1,62.0,62.0,24.8,37.2,
T-00187,2,SKU-106,Tea,3,22.0,66.0,26.4,39.6,
T-00188,1,SKU-046,Souvenir,1,12.0,12.0,4.2,7.8,
T-00188,2,SKU-087,Honey,4,45.0,135.0,81.0,54.0,IP-02
T-00189,1,SKU-014,Cosmetics,5,27.0,135.0,54.0,81.0,
T-00190,1,SKU-057,Confectionery,5,9.0,45.0,22.5,22.5,
T-00190,2,SKU-107,Tea,1,42.0,42.0,16.8,25.2,
T-00190,3,SKU-033,Liquor,1,52.0,52.0,28.6,23.4,
T-00191,1,SKU-037,Jewellery,3,520.0,1560.0,624.0,936.0,
T-00191,2,SKU-061,Confectionery,4,7.0,24.0,14.0,10.0,IP-03
