Product_SKU,Category,Item,Variant,Selling_Price,Cost_Price,Current_Stock,Safety_Stock
SKU-079,Apparel,AUS Souvenir T-Shirt,Adult,40.0,16.0,52,30
SKU-080,Apparel,AUS Souvenir Hoodie,Standard,55.0,22.0,47,30
SKU-081,Apparel,AUS Souvenir Hoodie,Premium,80.0,32.0,145,43
SKU-082,Apparel,Ugg Boots,Classic Short,110.0,44.0,224,39
SKU-083,Apparel,Ugg Boots,Classic Tall,180.0,72.0,111,26
SKU-084,Apparel,Ugg Slipper,Slipper,100.0,40.0,117,23
SKU-085,Apparel,AUS Souvenir Cap,Standard,18.0,7.2,116,27
SKU-086,Apparel,AUS Souvenir Cap,Premium,27.0,10.8,168,27
SKU-087,Honey,Comvita,UMF 5+,45.0,20.25,208,28
SKU-088,Honey,Comvita,UMF 10+,60.0,27.0,154,28
SKU-089,Honey,Comvita,UMF 15+,90.0,40.5,83,20
SKU-090,Honey,Comvita,UMF 20+,170.0,76.5,168,28
SKU-091,Honey,Manuka Health,MGO 263+,55.0,24.75,125,32
SKU-092,Honey,Manuka Health,MGO 400+,75.0,33.75,125,49
SKU-093,Honey,Beepower,MGO 115+,35.0,15.75,89,34
SKU-094,Honey,Beepower,MGO 263+,45.0,20.25,176,49
SKU-095,Indigenous,Aboriginal Art Print,A4 Print,28.0,8.4,79,22
SKU-096,Indigenous,Aboriginal Art Print,A3 Print,55.0,16.5,225,46
SKU-097,Indigenous,Aboriginal Art Print,Framed A3,110.0,33.0,91,39
SKU-098,Indigenous,Boomerang,Painted Small,25.0,7.5,213,30
SKU-099,Indigenous,Boomerang,Painted Large,55.0,16.5,151,41
SKU-100,Indigenous,Indigenous Hand Cream,50ml,14.0,4.2,185,44
SKU-101,Indigenous,Indigenous Hand Cream,100ml,24.0,7.2,185,36
SKU-102,Indigenous,Indigenous Lip Balm,Single,9.0,2.7,92,40
SKU-103,Indigenous,Indigenous Lip Balm,3-Pack,18.0,5.4,73,26
SKU-104,Indigenous,Indigenous Kitchenware,Coaster Set,22.0,6.6,192,28
SKU-105,Indigenous,Indigenous Kitchenware,Cutting Board,48.0,14.4,116,38
SKU-106,Tea,T2 Tea,Small Tin 50g,22.0,8.8,94,26
SKU-107,Tea,T2 Tea,Large Tin 100g,42.0,16.8,85,21
SKU-108,Tea,T2 Tea,Gift Set,62.0,24.8,95,45
