flight_no,airline,destination,departure_time,flight_status
CX103,Cathay Pacific,Hong Kong,2024-01-10 15:46:00,On Time
QF1,Qantas,Singapore,2024-01-10 16:30:00,On Time
QR007,Qatar Airways,Doha,2024-01-10 20:44:00,Delayed
EK413,Emirates,Dubai,2024-01-10 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-11 07:35:00,On Time
TR13,Scoot,Singapore,2024-01-11 07:46:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-11 08:03:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-11 08:44:00,On Time
TG476,Thai Airways,Bangkok,2024-01-11 09:00:00,On Time
MU502,China Eastern,Shanghai,2024-01-11 09:18:00,On Time
CA781,Air China,Beijing,2024-01-11 09:55:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-11 09:56:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-11 10:27:00,Delayed
NH880,ANA,Tokyo,2024-01-11 11:15:00,On Time
KE601,Korean Air,Seoul,2024-01-11 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-01-11 11:56:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-01-11 13:34:00,On Time
QF1,Qantas,Singapore,2024-01-11 16:31:00,On Time
UA839,United Airlines,Los Angeles,2024-01-11 20:59:00,On Time
EK413,Emirates,Dubai,2024-01-11 21:06:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-12 07:35:00,Delayed
SQ211,Singapore Airlines,Singapore,2024-01-12 07:56:00,On Time
5J32,Cebu Pacific,Manila,2024-01-12 08:01:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-12 08:47:00,Cancelled
MU502,China Eastern,Shanghai,2024-01-12 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-01-12 09:32:00,Delayed
OZ602,Asiana Airlines,Seoul,2024-01-12 09:40:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-12 09:57:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-12 10:27:00,On Time
KE601,Korean Air,Seoul,2024-01-12 11:30:00,Delayed
QF7,Qantas,Los Angeles,2024-01-12 11:55:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-12 15:49:00,On Time
QF1,Qantas,Singapore,2024-01-12 16:27:00,On Time
QR007,Qatar Airways,Doha,2024-01-12 20:50:00,On Time
EK413,Emirates,Dubai,2024-01-12 21:05:00,Cancelled
GA715,Garuda Indonesia,Bali,2024-01-13 07:32:00,On Time
TR13,Scoot,Singapore,2024-01-13 07:48:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-13 08:00:00,On Time
TG476,Thai Airways,Bangkok,2024-01-13 08:56:00,Delayed
MU502,China Eastern,Shanghai,2024-01-13 09:15:00,Delayed
PR211,Philippine Airlines,Manila,2024-01-13 09:28:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-13 09:50:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-13 09:58:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-13 10:35:00,On Time
NH880,ANA,Tokyo,2024-01-13 11:20:00,On Time
KE601,Korean Air,Seoul,2024-01-13 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-01-13 11:56:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-01-13 13:30:00,On Time
QF1,Qantas,Singapore,2024-01-13 16:35:00,On Time
UA839,United Airlines,Los Angeles,2024-01-13 20:59:00,On Time
EK413,Emirates,Dubai,2024-01-13 21:10:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-14 07:26:00,On Time
5J32,Cebu Pacific,Manila,2024-01-14 07:56:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-14 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-14 08:48:00,On Time
TG476,Thai Airways,Bangkok,2024-01-14 09:05:00,On Time
MU502,China Eastern,Shanghai,2024-01-14 09:19:00,On Time
PR211,Philippine Airlines,Manila,2024-01-14 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-14 09:40:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-14 09:59:00,On Time
CA781,Air China,Beijing,2024-01-14 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-14 10:25:00,Cancelled
NH880,ANA,Tokyo,2024-01-14 11:18:00,On Time
KE601,Korean Air,Seoul,2024-01-14 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-01-14 11:53:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-14 13:28:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-14 15:45:00,On Time
QF1,Qantas,Singapore,2024-01-14 16:27:00,On Time
QR007,Qatar Airways,Doha,2024-01-14 20:50:00,On Time
UA839,United Airlines,Los Angeles,2024-01-14 20:57:00,On Time
EK413,Emirates,Dubai,2024-01-14 21:12:00,Delayed
GA715,Garuda Indonesia,Bali,2024-01-15 07:34:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-15 07:55:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-15 08:50:00,On Time
TG476,Thai Airways,Bangkok,2024-01-15 09:02:00,On Time
MU502,China Eastern,Shanghai,2024-01-15 09:10:00,Delayed
PR211,Philippine Airlines,Manila,2024-01-15 09:32:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-15 09:42:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-15 10:00:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-15 10:34:00,Cancelled
KE601,Korean Air,Seoul,2024-01-15 11:27:00,Delayed
QF7,Qantas,Los Angeles,2024-01-15 11:50:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-15 13:33:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-15 15:48:00,On Time
QF1,Qantas,Singapore,2024-01-15 16:32:00,On Time
QR007,Qatar Airways,Doha,2024-01-15 20:48:00,On Time
EK413,Emirates,Dubai,2024-01-15 21:08:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-16 07:29:00,On Time
TR13,Scoot,Singapore,2024-01-16 07:50:00,On Time
5J32,Cebu Pacific,Manila,2024-01-16 07:57:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-16 08:03:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-16 08:43:00,On Time
MU502,China Eastern,Shanghai,2024-01-16 09:11:00,On Time
CA781,Air China,Beijing,2024-01-16 09:55:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-16 10:05:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-16 10:30:00,Delayed
NH880,ANA,Tokyo,2024-01-16 11:11:00,On Time
KE601,Korean Air,Seoul,2024-01-16 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-01-16 11:55:00,On Time
QF1,Qantas,Singapore,2024-01-16 16:34:00,On Time
UA839,United Airlines,Los Angeles,2024-01-16 20:59:00,On Time
EK413,Emirates,Dubai,2024-01-16 21:07:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-17 07:34:00,Delayed
SQ211,Singapore Airlines,Singapore,2024-01-17 08:03:00,On Time
TG476,Thai Airways,Bangkok,2024-01-17 08:59:00,On Time
MU502,China Eastern,Shanghai,2024-01-17 09:19:00,On Time
PR211,Philippine Airlines,Manila,2024-01-17 09:31:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-17 09:46:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-17 09:59:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-17 10:31:00,On Time
KE601,Korean Air,Seoul,2024-01-17 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-01-17 11:56:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-17 13:27:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-17 15:50:00,On Time
QF1,Qantas,Singapore,2024-01-17 16:30:00,On Time
QR007,Qatar Airways,Doha,2024-01-17 20:47:00,On Time
EK413,Emirates,Dubai,2024-01-17 21:06:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-18 07:26:00,Delayed
TR13,Scoot,Singapore,2024-01-18 07:40:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-18 08:02:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-18 08:40:00,On Time
TG476,Thai Airways,Bangkok,2024-01-18 09:02:00,On Time
MU502,China Eastern,Shanghai,2024-01-18 09:14:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-18 09:57:00,On Time
CA781,Air China,Beijing,2024-01-18 10:05:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-18 10:35:00,On Time
NH880,ANA,Tokyo,2024-01-18 11:16:00,On Time
KE601,Korean Air,Seoul,2024-01-18 11:34:00,On Time
QF7,Qantas,Los Angeles,2024-01-18 11:53:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-01-18 13:28:00,On Time
QF1,Qantas,Singapore,2024-01-18 16:33:00,Cancelled
UA839,United Airlines,Los Angeles,2024-01-18 21:02:00,On Time
EK413,Emirates,Dubai,2024-01-18 21:13:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-19 07:28:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-19 07:58:00,On Time
5J32,Cebu Pacific,Manila,2024-01-19 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-19 08:41:00,On Time
MU502,China Eastern,Shanghai,2024-01-19 09:18:00,On Time
PR211,Philippine Airlines,Manila,2024-01-19 09:25:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-19 09:48:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-19 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-19 10:26:00,On Time
KE601,Korean Air,Seoul,2024-01-19 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-01-19 11:50:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-19 15:46:00,On Time
QF1,Qantas,Singapore,2024-01-19 16:27:00,Delayed
QR007,Qatar Airways,Doha,2024-01-19 20:48:00,On Time
EK413,Emirates,Dubai,2024-01-19 21:11:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-20 07:30:00,On Time
TR13,Scoot,Singapore,2024-01-20 07:47:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-20 08:03:00,On Time
TG476,Thai Airways,Bangkok,2024-01-20 09:03:00,On Time
MU502,China Eastern,Shanghai,2024-01-20 09:11:00,On Time
PR211,Philippine Airlines,Manila,2024-01-20 09:25:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-20 09:49:00,Delayed
JL771,Japan Airlines,Tokyo,2024-01-20 09:58:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-20 10:31:00,On Time
NH880,ANA,Tokyo,2024-01-20 11:15:00,On Time
KE601,Korean Air,Seoul,2024-01-20 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-01-20 11:52:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-20 13:26:00,On Time
QF1,Qantas,Singapore,2024-01-20 16:31:00,Delayed
UA839,United Airlines,Los Angeles,2024-01-20 21:02:00,On Time
EK413,Emirates,Dubai,2024-01-20 21:13:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-21 07:32:00,On Time
5J32,Cebu Pacific,Manila,2024-01-21 07:58:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-21 08:02:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-21 08:45:00,On Time
TG476,Thai Airways,Bangkok,2024-01-21 08:56:00,On Time
MU502,China Eastern,Shanghai,2024-01-21 09:15:00,On Time
PR211,Philippine Airlines,Manila,2024-01-21 09:33:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-21 09:50:00,Delayed
CA781,Air China,Beijing,2024-01-21 09:57:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-21 10:04:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-21 10:35:00,On Time
NH880,ANA,Tokyo,2024-01-21 11:15:00,On Time
KE601,Korean Air,Seoul,2024-01-21 11:25:00,On Time
QF7,Qantas,Los Angeles,2024-01-21 11:54:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-21 13:35:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-21 15:40:00,Delayed
QF1,Qantas,Singapore,2024-01-21 16:26:00,Delayed
QR007,Qatar Airways,Doha,2024-01-21 20:47:00,On Time
UA839,United Airlines,Los Angeles,2024-01-21 20:59:00,Delayed
EK413,Emirates,Dubai,2024-01-21 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-22 07:32:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-22 07:55:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-22 08:42:00,On Time
TG476,Thai Airways,Bangkok,2024-01-22 09:04:00,On Time
MU502,China Eastern,Shanghai,2024-01-22 09:14:00,On Time
PR211,Philippine Airlines,Manila,2024-01-22 09:34:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-22 09:49:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-22 10:04:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-01-22 10:26:00,Delayed
KE601,Korean Air,Seoul,2024-01-22 11:26:00,On Time
QF7,Qantas,Los Angeles,2024-01-22 11:58:00,Cancelled
SQ213,Singapore Airlines,Singapore,2024-01-22 13:26:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-22 15:48:00,On Time
QF1,Qantas,Singapore,2024-01-22 16:28:00,On Time
QR007,Qatar Airways,Doha,2024-01-22 20:43:00,On Time
EK413,Emirates,Dubai,2024-01-22 21:06:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-23 07:28:00,On Time
TR13,Scoot,Singapore,2024-01-23 07:47:00,On Time
5J32,Cebu Pacific,Manila,2024-01-23 08:02:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-23 08:03:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-23 08:41:00,On Time
MU502,China Eastern,Shanghai,2024-01-23 09:14:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-23 09:56:00,On Time
CA781,Air China,Beijing,2024-01-23 09:57:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-23 10:35:00,On Time
NH880,ANA,Tokyo,2024-01-23 11:15:00,Delayed
KE601,Korean Air,Seoul,2024-01-23 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-01-23 11:50:00,On Time
QF1,Qantas,Singapore,2024-01-23 16:31:00,On Time
UA839,United Airlines,Los Angeles,2024-01-23 20:55:00,On Time
EK413,Emirates,Dubai,2024-01-23 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-24 07:27:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-24 07:58:00,Cancelled
TG476,Thai Airways,Bangkok,2024-01-24 09:01:00,On Time
MU502,China Eastern,Shanghai,2024-01-24 09:11:00,Delayed
PR211,Philippine Airlines,Manila,2024-01-24 09:33:00,On Time
OZ602,Asiana Airlines,Seoul,2024-01-24 09:50:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-24 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-24 10:35:00,On Time
KE601,Korean Air,Seoul,2024-01-24 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-01-24 11:54:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-24 13:35:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-01-24 15:49:00,On Time
QF1,Qantas,Singapore,2024-01-24 16:25:00,On Time
QR007,Qatar Airways,Doha,2024-01-24 20:50:00,On Time
EK413,Emirates,Dubai,2024-01-24 21:12:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-25 07:28:00,On Time
TR13,Scoot,Singapore,2024-01-25 07:50:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-25 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-25 08:40:00,On Time
TG476,Thai Airways,Bangkok,2024-01-25 09:01:00,On Time
MU502,China Eastern,Shanghai,2024-01-25 09:15:00,On Time
JL771,Japan Airlines,Tokyo,2024-01-25 09:55:00,On Time
CA781,Air China,Beijing,2024-01-25 10:04:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-01-25 10:28:00,Delayed
NH880,ANA,Tokyo,2024-01-25 11:11:00,On Time
KE601,Korean Air,Seoul,2024-01-25 11:31:00,Delayed
QF7,Qantas,Los Angeles,2024-01-25 11:57:00,On Time
SQ213,Singapore Airlines,Singapore,2024-01-25 13:30:00,On Time
QF1,Qantas,Singapore,2024-01-25 16:25:00,On Time
UA839,United Airlines,Los Angeles,2024-01-25 21:02:00,Delayed
EK413,Emirates,Dubai,2024-01-25 21:09:00,On Time
GA715,Garuda Indonesia,Bali,2024-01-26 07:33:00,On Time
5J32,Cebu Pacific,Manila,2024-01-26 07:59:00,On Time
SQ211,Singapore Airlines,Singapore,2024-01-26 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-01-26 08:47:00,On Time
MU502,China Eastern,Shanghai,2024-01-26 09:18:00,On Time
PR211,Philippine Airlines,Manila,2024-01-26 09:26:00,Delayed
