flight_id,flight_no,airline,destination,departure_time,flight_status
FL-0027,KE601,Korean Air,Seoul,2024-01-02 11:30:00,On Time
FL-0028,QF7,Qantas,Los Angeles,2024-01-02 11:56:00,On Time
FL-0029,QF1,Qantas,Singapore,2024-01-02 16:28:00,On Time
FL-0030,UA839,United Airlines,Los Angeles,2024-01-02 20:55:00,On Time
FL-0031,EK413,Emirates,Dubai,2024-01-02 21:14:00,On Time
FL-0032,GA715,Garuda Indonesia,Bali,2024-01-03 07:26:00,On Time
FL-0033,SQ211,Singapore Airlines,Singapore,2024-01-03 08:05:00,On Time
FL-0034,TG476,Thai Airways,Bangkok,2024-01-03 09:01:00,On Time
FL-0035,MU502,China Eastern,Shanghai,2024-01-03 09:10:00,On Time
FL-0036,PR211,Philippine Airlines,Manila,2024-01-03 09:32:00,On Time
FL-0037,OZ602,Asiana Airlines,Seoul,2024-01-03 09:49:00,On Time
FL-0038,JL771,Japan Airlines,Tokyo,2024-01-03 09:56:00,On Time
FL-0039,CX101,Cathay Pacific,Hong Kong,2024-01-03 10:25:00,On Time
FL-0040,KE601,Korean Air,Seoul,2024-01-03 11:32:00,On Time
FL-0041,QF7,Qantas,Los Angeles,2024-01-03 11:50:00,On Time
FL-0042,SQ213,Singapore Airlines,Singapore,2024-01-03 13:35:00,Delayed
FL-0043,CX103,Cathay Pacific,Hong Kong,2024-01-03 15:41:00,On Time
FL-0044,QF1,Qantas,Singapore,2024-01-03 16:29:00,On Time
FL-0045,QR007,Qatar Airways,Doha,2024-01-03 20:49:00,On Time
FL-0046,EK413,Emirates,Dubai,2024-01-03 21:05:00,On Time
FL-0047,GA715,Garuda Indonesia,Bali,2024-01-04 07:34:00,On Time
FL-0048,TR13,Scoot,Singapore,2024-01-04 07:48:00,On Time
FL-0049,SQ211,Singapore Airlines,Singapore,2024-01-04 07:59:00,On Time
FL-0050,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-04 08:48:00,On Time
FL-0051,TG476,Thai Airways,Bangkok,2024-01-04 08:58:00,On Time
FL-0052,MU502,China Eastern,Shanghai,2024-01-04 09:11:00,Delayed
FL-0053,CA781,Air China,Beijing,2024-01-04 09:57:00,On Time
FL-0054,JL771,Japan Airlines,Tokyo,2024-01-04 10:03:00,On Time
FL-0055,CX101,Cathay Pacific,Hong Kong,2024-01-04 10:29:00,On Time
FL-0056,NH880,ANA,Tokyo,2024-01-04 11:17:00,On Time
FL-0057,KE601,Korean Air,Seoul,2024-01-04 11:33:00,On Time
FL-0058,QF7,Qantas,Los Angeles,2024-01-04 11:52:00,On Time
FL-0059,SQ213,Singapore Airlines,Singapore,2024-01-04 13:32:00,On Time
FL-0060,QF1,Qantas,Singapore,2024-01-04 16:33:00,On Time
FL-0061,UA839,United Airlines,Los Angeles,2024-01-04 20:59:00,Delayed
FL-0062,EK413,Emirates,Dubai,2024-01-04 21:13:00,On Time
FL-0063,GA715,Garuda Indonesia,Bali,2024-01-05 07:26:00,On Time
FL-0064,5J32,Cebu Pacific,Manila,2024-01-05 07:58:00,On Time
FL-0065,SQ211,Singapore Airlines,Singapore,2024-01-05 08:00:00,On Time
FL-0066,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-05 08:42:00,On Time
FL-0067,MU502,China Eastern,Shanghai,2024-01-05 09:10:00,On Time
FL-0068,PR211,Philippine Airlines,Manila,2024-01-05 09:28:00,Delayed
FL-0069,OZ602,Asiana Airlines,Seoul,2024-01-05 09:45:00,On Time
FL-0070,JL771,Japan Airlines,Tokyo,2024-01-05 10:00:00,On Time
FL-0071,CX101,Cathay Pacific,Hong Kong,2024-01-05 10:27:00,Delayed
FL-0072,KE601,Korean Air,Seoul,2024-01-05 11:32:00,On Time
FL-0073,QF7,Qantas,Los Angeles,2024-01-05 11:52:00,Delayed
FL-0074,CX103,Cathay Pacific,Hong Kong,2024-01-05 15:43:00,On Time
FL-0075,QF1,Qantas,Singapore,2024-01-05 16:30:00,On Time
FL-0076,QR007,Qatar Airways,Doha,2024-01-05 20:44:00,On Time
FL-0077,EK413,Emirates,Dubai,2024-01-05 21:13:00,Delayed
FL-0078,GA715,Garuda Indonesia,Bali,2024-01-06 07:32:00,Cancelled
FL-0079,TR13,Scoot,Singapore,2024-01-06 07:43:00,On Time
FL-0080,SQ211,Singapore Airlines,Singapore,2024-01-06 07:59:00,On Time
FL-0081,TG476,Thai Airways,Bangkok,2024-01-06 09:01:00,On Time
FL-0082,MU502,China Eastern,Shanghai,2024-01-06 09:16:00,On Time
FL-0083,PR211,Philippine Airlines,Manila,2024-01-06 09:30:00,Delayed
FL-0084,OZ602,Asiana Airlines,Seoul,2024-01-06 09:41:00,On Time
FL-0085,JL771,Japan Airlines,Tokyo,2024-01-06 10:02:00,On Time
FL-0086,CX101,Cathay Pacific,Hong Kong,2024-01-06 10:27:00,Delayed
FL-0087,NH880,ANA,Tokyo,2024-01-06 11:15:00,On Time
FL-0088,KE601,Korean Air,Seoul,2024-01-06 11:34:00,On Time
FL-0089,QF7,Qantas,Los Angeles,2024-01-06 11:59:00,On Time
FL-0090,SQ213,Singapore Airlines,Singapore,2024-01-06 13:27:00,On Time
FL-0091,QF1,Qantas,Singapore,2024-01-06 16:26:00,On Time
FL-0092,UA839,United Airlines,Los Angeles,2024-01-06 20:56:00,On Time
FL-0093,EK413,Emirates,Dubai,2024-01-06 21:06:00,Delayed
FL-0094,GA715,Garuda Indonesia,Bali,2024-01-07 07:34:00,Delayed
FL-0095,5J32,Cebu Pacific,Manila,2024-01-07 07:57:00,On Time
FL-0096,SQ211,Singapore Airlines,Singapore,2024-01-07 08:03:00,On Time
FL-0097,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-07 08:49:00,Delayed
FL-0098,TG476,Thai Airways,Bangkok,2024-01-07 09:05:00,Delayed
FL-0099,MU502,China Eastern,Shanghai,2024-01-07 09:10:00,On Time
FL-0100,PR211,Philippine Airlines,Manila,2024-01-07 09:28:00,On Time
FL-0101,OZ602,Asiana Airlines,Seoul,2024-01-07 09:44:00,On Time
FL-0102,JL771,Japan Airlines,Tokyo,2024-01-07 09:59:00,On Time
FL-0103,CA781,Air China,Beijing,2024-01-07 10:02:00,On Time
FL-0104,CX101,Cathay Pacific,Hong Kong,2024-01-07 10:26:00,On Time
FL-0105,NH880,ANA,Tokyo,2024-01-07 11:15:00,On Time
FL-0106,KE601,Korean Air,Seoul,2024-01-07 11:29:00,On Time
FL-0107,QF7,Qantas,Los Angeles,2024-01-07 11:56:00,Delayed
FL-0108,SQ213,Singapore Airlines,Singapore,2024-01-07 13:26:00,On Time
FL-0109,CX103,Cathay Pacific,Hong Kong,2024-01-07 15:46:00,On Time
FL-0110,QF1,Qantas,Singapore,2024-01-07 16:27:00,On Time
FL-0111,QR007,Qatar Airways,Doha,2024-01-07 20:40:00,On Time
FL-0112,UA839,United Airlines,Los Angeles,2024-01-07 20:55:00,On Time
FL-0113,EK413,Emirates,Dubai,2024-01-07 21:13:00,On Time
FL-0114,GA715,Garuda Indonesia,Bali,2024-01-08 07:33:00,On Time
FL-0115,SQ211,Singapore Airlines,Singapore,2024-01-08 08:05:00,On Time
FL-0116,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-08 08:47:00,On Time
FL-0117,TG476,Thai Airways,Bangkok,2024-01-08 08:55:00,On Time
FL-0118,MU502,China Eastern,Shanghai,2024-01-08 09:11:00,On Time
FL-0119,PR211,Philippine Airlines,Manila,2024-01-08 09:25:00,On Time
FL-0120,OZ602,Asiana Airlines,Seoul,2024-01-08 09:46:00,On Time
FL-0121,JL771,Japan Airlines,Tokyo,2024-01-08 10:02:00,On Time
FL-0122,CX101,Cathay Pacific,Hong Kong,2024-01-08 10:33:00,On Time
FL-0123,KE601,Korean Air,Seoul,2024-01-08 11:35:00,On Time
FL-0124,QF7,Qantas,Los Angeles,2024-01-08 12:00:00,On Time
FL-0125,SQ213,Singapore Airlines,Singapore,2024-01-08 13:34:00,On Time
FL-0126,CX103,Cathay Pacific,Hong Kong,2024-01-08 15:44:00,On Time
FL-0127,QF1,Qantas,Singapore,2024-01-08 16:30:00,On Time
FL-0128,QR007,Qatar Airways,Doha,2024-01-08 20:40:00,On Time
FL-0129,EK413,Emirates,Dubai,2024-01-08 21:09:00,Cancelled
FL-0130,GA715,Garuda Indonesia,Bali,2024-01-09 07:27:00,On Time
FL-0131,TR13,Scoot,Singapore,2024-01-09 07:41:00,On Time
FL-0132,SQ211,Singapore Airlines,Singapore,2024-01-09 08:03:00,Delayed
FL-0133,5J32,Cebu Pacific,Manila,2024-01-09 08:04:00,On Time
FL-0134,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-09 08:46:00,On Time
FL-0135,MU502,China Eastern,Shanghai,2024-01-09 09:15:00,On Time
FL-0136,JL771,Japan Airlines,Tokyo,2024-01-09 09:55:00,On Time
FL-0137,CA781,Air China,Beijing,2024-01-09 09:57:00,On Time
FL-0138,CX101,Cathay Pacific,Hong Kong,2024-01-09 10:35:00,On Time
FL-0139,NH880,ANA,Tokyo,2024-01-09 11:15:00,On Time
FL-0140,KE601,Korean Air,Seoul,2024-01-09 11:25:00,On Time
FL-0141,QF7,Qantas,Los Angeles,2024-01-09 12:00:00,Delayed
FL-0142,QF1,Qantas,Singapore,2024-01-09 16:34:00,On Time
FL-0143,UA839,United Airlines,Los Angeles,2024-01-09 21:04:00,On Time
FL-0144,EK413,Emirates,Dubai,2024-01-09 21:12:00,On Time
FL-0145,GA715,Garuda Indonesia,Bali,2024-01-10 07:32:00,On Time
FL-0146,SQ211,Singapore Airlines,Singapore,2024-01-10 07:59:00,Delayed
FL-0147,TG476,Thai Airways,Bangkok,2024-01-10 09:02:00,On Time
FL-0148,MU502,China Eastern,Shanghai,2024-01-10 09:15:00,On Time
FL-0149,PR211,Philippine Airlines,Manila,2024-01-10 09:32:00,Delayed
FL-0150,OZ602,Asiana Airlines,Seoul,2024-01-10 09:40:00,On Time
FL-0151,JL771,Japan Airlines,Tokyo,2024-01-10 10:01:00,On Time
FL-0152,CX101,Cathay Pacific,Hong Kong,2024-01-10 10:30:00,Delayed
FL-0153,KE601,Korean Air,Seoul,2024-01-10 11:34:00,On Time
FL-0154,QF7,Qantas,Los Angeles,2024-01-10 11:59:00,On Time
FL-0155,SQ213,Singapore Airlines,Singapore,2024-01-10 13:27:00,Cancelled
FL-0156,CX103,Cathay Pacific,Hong Kong,2024-01-10 15:43:00,On Time
FL-0157,QF1,Qantas,Singapore,2024-01-10 16:30:00,On Time
FL-0158,QR007,Qatar Airways,Doha,2024-01-10 20:48:00,On Time
FL-0159,EK413,Emirates,Dubai,2024-01-10 21:15:00,On Time
FL-0160,GA715,Garuda Indonesia,Bali,2024-01-11 07:33:00,On Time
FL-0161,TR13,Scoot,Singapore,2024-01-11 07:44:00,On Time
FL-0162,SQ211,Singapore Airlines,Singapore,2024-01-11 08:05:00,Delayed
FL-0163,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-11 08:50:00,Delayed
FL-0164,TG476,Thai Airways,Bangkok,2024-01-11 08:56:00,On Time
FL-0165,MU502,China Eastern,Shanghai,2024-01-11 09:14:00,On Time
FL-0166,CA781,Air China,Beijing,2024-01-11 09:59:00,On Time
FL-0167,JL771,Japan Airlines,Tokyo,2024-01-11 10:03:00,On Time
FL-0168,CX101,Cathay Pacific,Hong Kong,2024-01-11 10:30:00,On Time
FL-0169,NH880,ANA,Tokyo,2024-01-11 11:11:00,On Time
FL-0170,KE601,Korean Air,Seoul,2024-01-11 11:27:00,On Time
FL-0171,QF7,Qantas,Los Angeles,2024-01-11 11:53:00,On Time
FL-0172,SQ213,Singapore Airlines,Singapore,2024-01-11 13:32:00,On Time
FL-0173,QF1,Qantas,Singapore,2024-01-11 16:30:00,Cancelled
FL-0174,UA839,United Airlines,Los Angeles,2024-01-11 20:55:00,On Time
FL-0175,EK413,Emirates,Dubai,2024-01-11 21:08:00,On Time
FL-0176,GA715,Garuda Indonesia,Bali,2024-01-12 07:31:00,On Time
FL-0177,SQ211,Singapore Airlines,Singapore,2024-01-12 07:57:00,On Time
FL-0178,5J32,Cebu Pacific,Manila,2024-01-12 08:02:00,On Time
FL-0179,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-12 08:46:00,On Time
FL-0180,MU502,China Eastern,Shanghai,2024-01-12 09:15:00,Delayed
FL-0181,PR211,Philippine Airlines,Manila,2024-01-12 09:28:00,On Time
FL-0182,OZ602,Asiana Airlines,Seoul,2024-01-12 09:43:00,On Time
FL-0183,JL771,Japan Airlines,Tokyo,2024-01-12 09:58:00,On Time
FL-0184,CX101,Cathay Pacific,Hong Kong,2024-01-12 10:28:00,On Time
FL-0185,KE601,Korean Air,Seoul,2024-01-12 11:30:00,On Time
FL-0186,QF7,Qantas,Los Angeles,2024-01-12 11:54:00,Delayed
FL-0187,CX103,Cathay Pacific,Hong Kong,2024-01-12 15:43:00,On Time
FL-0188,QF1,Qantas,Singapore,2024-01-12 16:25:00,On Time
FL-0189,QR007,Qatar Airways,Doha,2024-01-12 20:40:00,On Time
FL-0190,EK413,Emirates,Dubai,2024-01-12 21:08:00,On Time
FL-0191,GA715,Garuda Indonesia,Bali,2024-01-13 07:31:00,Delayed
FL-0192,TR13,Scoot,Singapore,2024-01-13 07:48:00,On Time
FL-0193,SQ211,Singapore Airlines,Singapore,2024-01-13 08:03:00,On Time
FL-0194,TG476,Thai Airways,Bangkok,2024-01-13 09:02:00,On Time
FL-0195,MU502,China Eastern,Shanghai,2024-01-13 09:18:00,On Time
FL-0196,PR211,Philippine Airlines,Manila,2024-01-13 09:27:00,On Time
FL-0197,OZ602,Asiana Airlines,Seoul,2024-01-13 09:42:00,On Time
FL-0198,JL771,Japan Airlines,Tokyo,2024-01-13 09:59:00,On Time
FL-0199,CX101,Cathay Pacific,Hong Kong,2024-01-13 10:30:00,On Time
FL-0200,NH880,ANA,Tokyo,2024-01-13 11:20:00,On Time
FL-0201,KE601,Korean Air,Seoul,2024-01-13 11:29:00,On Time
FL-0202,QF7,Qantas,Los Angeles,2024-01-13 11:57:00,On Time
FL-0203,SQ213,Singapore Airlines,Singapore,2024-01-13 13:30:00,On Time
FL-0204,QF1,Qantas,Singapore,2024-01-13 16:27:00,On Time
FL-0205,UA839,United Airlines,Los Angeles,2024-01-13 21:01:00,On Time
FL-0206,EK413,Emirates,Dubai,2024-01-13 21:10:00,Delayed
FL-0207,GA715,Garuda Indonesia,Bali,2024-01-14 07:32:00,On Time
FL-0208,5J32,Cebu Pacific,Manila,2024-01-14 07:58:00,On Time
FL-0209,SQ211,Singapore Airlines,Singapore,2024-01-14 07:58:00,Delayed
FL-0210,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-14 08:41:00,On Time
FL-0211,TG476,Thai Airways,Bangkok,2024-01-14 08:59:00,Delayed
FL-0212,MU502,China Eastern,Shanghai,2024-01-14 09:20:00,On Time
FL-0213,PR211,Philippine Airlines,Manila,2024-01-14 09:25:00,Cancelled
FL-0214,OZ602,Asiana Airlines,Seoul,2024-01-14 09:46:00,Cancelled
FL-0215,CA781,Air China,Beijing,2024-01-14 09:57:00,On Time
FL-0216,JL771,Japan Airlines,Tokyo,2024-01-14 10:00:00,On Time
FL-0217,CX101,Cathay Pacific,Hong Kong,2024-01-14 10:25:00,On Time
FL-0218,NH880,ANA,Tokyo,2024-01-14 11:11:00,On Time
FL-0219,KE601,Korean Air,Seoul,2024-01-14 11:35:00,On Time
FL-0220,QF7,Qantas,Los Angeles,2024-01-14 11:57:00,On Time
FL-0221,SQ213,Singapore Airlines,Singapore,2024-01-14 13:35:00,Delayed
FL-0222,CX103,Cathay Pacific,Hong Kong,2024-01-14 15:48:00,On Time
FL-0223,QF1,Qantas,Singapore,2024-01-14 16:30:00,On Time
FL-0224,QR007,Qatar Airways,Doha,2024-01-14 20:50:00,On Time
FL-0225,UA839,United Airlines,Los Angeles,2024-01-14 21:02:00,Cancelled
FL-0226,EK413,Emirates,Dubai,2024-01-14 21:13:00,On Time
FL-0227,GA715,Garuda Indonesia,Bali,2024-01-15 07:35:00,On Time
FL-0228,SQ211,Singapore Airlines,Singapore,2024-01-15 07:57:00,On Time
FL-0229,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-15 08:45:00,On Time
FL-0230,TG476,Thai Airways,Bangkok,2024-01-15 09:00:00,On Time
FL-0231,MU502,China Eastern,Shanghai,2024-01-15 09:15:00,On Time
FL-0232,PR211,Philippine Airlines,Manila,2024-01-15 09:34:00,On Time
FL-0233,OZ602,Asiana Airlines,Seoul,2024-01-15 09:49:00,On Time
FL-0234,JL771,Japan Airlines,Tokyo,2024-01-15 09:56:00,On Time
FL-0235,CX101,Cathay Pacific,Hong Kong,2024-01-15 10:34:00,On Time
FL-0236,KE601,Korean Air,Seoul,2024-01-15 11:27:00,On Time
FL-0237,QF7,Qantas,Los Angeles,2024-01-15 11:56:00,On Time
FL-0238,SQ213,Singapore Airlines,Singapore,2024-01-15 13:28:00,Cancelled
FL-0239,CX103,Cathay Pacific,Hong Kong,2024-01-15 15:40:00,On Time
FL-0240,QF1,Qantas,Singapore,2024-01-15 16:31:00,On Time
FL-0241,QR007,Qatar Airways,Doha,2024-01-15 20:42:00,On Time
FL-0242,EK413,Emirates,Dubai,2024-01-15 21:09:00,On Time
FL-0243,GA715,Garuda Indonesia,Bali,2024-01-16 07:31:00,On Time
FL-0244,TR13,Scoot,Singapore,2024-01-16 07:41:00,On Time
FL-0245,5J32,Cebu Pacific,Manila,2024-01-16 07:55:00,On Time
FL-0246,SQ211,Singapore Airlines,Singapore,2024-01-16 08:05:00,On Time
FL-0247,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-16 08:48:00,On Time
FL-0248,MU502,China Eastern,Shanghai,2024-01-16 09:18:00,Delayed
FL-0249,JL771,Japan Airlines,Tokyo,2024-01-16 09:59:00,On Time
FL-0250,CA781,Air China,Beijing,2024-01-16 10:05:00,On Time
FL-0251,CX101,Cathay Pacific,Hong Kong,2024-01-16 10:27:00,On Time
FL-0252,NH880,ANA,Tokyo,2024-01-16 11:12:00,On Time
FL-0253,KE601,Korean Air,Seoul,2024-01-16 11:29:00,On Time
FL-0254,QF7,Qantas,Los Angeles,2024-01-16 11:59:00,On Time
FL-0255,QF1,Qantas,Singapore,2024-01-16 16:31:00,On Time
FL-0256,UA839,United Airlines,Los Angeles,2024-01-16 20:56:00,On Time
FL-0257,EK413,Emirates,Dubai,2024-01-16 21:15:00,On Time
FL-0258,GA715,Garuda Indonesia,Bali,2024-01-17 07:28:00,On Time
FL-0259,SQ211,Singapore Airlines,Singapore,2024-01-17 07:57:00,On Time
FL-0260,TG476,Thai Airways,Bangkok,2024-01-17 08:58:00,On Time
FL-0261,MU502,China Eastern,Shanghai,2024-01-17 09:12:00,On Time
FL-0262,PR211,Philippine Airlines,Manila,2024-01-17 09:26:00,On Time
FL-0263,OZ602,Asiana Airlines,Seoul,2024-01-17 09:49:00,On Time
FL-0264,JL771,Japan Airlines,Tokyo,2024-01-17 10:01:00,On Time
FL-0265,CX101,Cathay Pacific,Hong Kong,2024-01-17 10:31:00,On Time
FL-0266,KE601,Korean Air,Seoul,2024-01-17 11:26:00,On Time
FL-0267,QF7,Qantas,Los Angeles,2024-01-17 11:52:00,On Time
FL-0268,SQ213,Singapore Airlines,Singapore,2024-01-17 13:30:00,On Time
FL-0269,CX103,Cathay Pacific,Hong Kong,2024-01-17 15:48:00,On Time
FL-0270,QF1,Qantas,Singapore,2024-01-17 16:30:00,On Time
FL-0271,QR007,Qatar Airways,Doha,2024-01-17 20:50:00,On Time
FL-0272,EK413,Emirates,Dubai,2024-01-17 21:10:00,On Time
FL-0273,GA715,Garuda Indonesia,Bali,2024-01-18 07:25:00,On Time
FL-0274,TR13,Scoot,Singapore,2024-01-18 07:48:00,Delayed
FL-0275,SQ211,Singapore Airlines,Singapore,2024-01-18 07:55:00,On Time
FL-0276,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-18 08:40:00,On Time
FL-0277,TG476,Thai Airways,Bangkok,2024-01-18 08:56:00,Delayed
FL-0278,MU502,China Eastern,Shanghai,2024-01-18 09:16:00,On Time
FL-0279,CA781,Air China,Beijing,2024-01-18 09:56:00,On Time
FL-0280,JL771,Japan Airlines,Tokyo,2024-01-18 10:03:00,On Time
FL-0281,CX101,Cathay Pacific,Hong Kong,2024-01-18 10:25:00,On Time
FL-0282,NH880,ANA,Tokyo,2024-01-18 11:19:00,On Time
FL-0283,KE601,Korean Air,Seoul,2024-01-18 11:30:00,On Time
FL-0284,QF7,Qantas,Los Angeles,2024-01-18 11:53:00,On Time
FL-0285,SQ213,Singapore Airlines,Singapore,2024-01-18 13:33:00,Delayed
FL-0286,QF1,Qantas,Singapore,2024-01-18 16:29:00,On Time
FL-0287,UA839,United Airlines,Los Angeles,2024-01-18 20:55:00,On Time
FL-0288,EK413,Emirates,Dubai,2024-01-18 21:07:00,Delayed
FL-0289,GA715,Garuda Indonesia,Bali,2024-01-19 07:33:00,On Time
FL-0290,SQ211,Singapore Airlines,Singapore,2024-01-19 07:56:00,On Time
FL-0291,5J32,Cebu Pacific,Manila,2024-01-19 08:02:00,Cancelled
FL-0292,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-19 08:46:00,On Time
FL-0293,MU502,China Eastern,Shanghai,2024-01-19 09:18:00,On Time
FL-0294,PR211,Philippine Airlines,Manila,2024-01-19 09:27:00,On Time
FL-0295,OZ602,Asiana Airlines,Seoul,2024-01-19 09:44:00,On Time
FL-0296,JL771,Japan Airlines,Tokyo,2024-01-19 10:02:00,On Time
FL-0297,CX101,Cathay Pacific,Hong Kong,2024-01-19 10:31:00,On Time
FL-0298,KE601,Korean Air,Seoul,2024-01-19 11:29:00,On Time
FL-0299,QF7,Qantas,Los Angeles,2024-01-19 11:58:00,On Time
FL-0300,CX103,Cathay Pacific,Hong Kong,2024-01-19 15:48:00,On Time
FL-0301,QF1,Qantas,Singapore,2024-01-19 16:28:00,On Time
FL-0302,QR007,Qatar Airways,Doha,2024-01-19 20:41:00,On Time
FL-0303,EK413,Emirates,Dubai,2024-01-19 21:06:00,On Time
FL-0304,GA715,Garuda Indonesia,Bali,2024-01-20 07:27:00,On Time
FL-0305,TR13,Scoot,Singapore,2024-01-20 07:40:00,On Time
FL-0306,SQ211,Singapore Airlines,Singapore,2024-01-20 07:59:00,On Time
FL-0307,TG476,Thai Airways,Bangkok,2024-01-20 09:02:00,On Time
FL-0308,MU502,China Eastern,Shanghai,2024-01-20 09:14:00,On Time
FL-0309,PR211,Philippine Airlines,Manila,2024-01-20 09:33:00,On Time
FL-0310,OZ602,Asiana Airlines,Seoul,2024-01-20 09:47:00,On Time
FL-0311,JL771,Japan Airlines,Tokyo,2024-01-20 10:02:00,On Time
FL-0312,CX101,Cathay Pacific,Hong Kong,2024-01-20 10:29:00,On Time
FL-0313,NH880,ANA,Tokyo,2024-01-20 11:16:00,On Time
FL-0314,KE601,Korean Air,Seoul,2024-01-20 11:25:00,On Time
FL-0315,QF7,Qantas,Los Angeles,2024-01-20 11:55:00,On Time
FL-0316,SQ213,Singapore Airlines,Singapore,2024-01-20 13:33:00,On Time
FL-0317,QF1,Qantas,Singapore,2024-01-20 16:28:00,On Time
FL-0318,UA839,United Airlines,Los Angeles,2024-01-20 21:02:00,On Time
FL-0319,EK413,Emirates,Dubai,2024-01-20 21:07:00,Delayed
FL-0320,GA715,Garuda Indonesia,Bali,2024-01-21 07:30:00,On Time
FL-0321,5J32,Cebu Pacific,Manila,2024-01-21 07:57:00,On Time
FL-0322,SQ211,Singapore Airlines,Singapore,2024-01-21 08:03:00,On Time
FL-0323,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-21 08:43:00,On Time
FL-0324,TG476,Thai Airways,Bangkok,2024-01-21 08:59:00,On Time
FL-0325,MU502,China Eastern,Shanghai,2024-01-21 09:11:00,On Time
FL-0326,PR211,Philippine Airlines,Manila,2024-01-21 09:33:00,On Time
FL-0327,OZ602,Asiana Airlines,Seoul,2024-01-21 09:40:00,On Time
FL-0328,JL771,Japan Airlines,Tokyo,2024-01-21 09:58:00,Delayed
FL-0329,CA781,Air China,Beijing,2024-01-21 10:02:00,On Time
FL-0330,CX101,Cathay Pacific,Hong Kong,2024-01-21 10:25:00,On Time
FL-0331,NH880,ANA,Tokyo,2024-01-21 11:17:00,Delayed
FL-0332,KE601,Korean Air,Seoul,2024-01-21 11:32:00,On Time
FL-0333,QF7,Qantas,Los Angeles,2024-01-21 11:59:00,On Time
FL-0334,SQ213,Singapore Airlines,Singapore,2024-01-21 13:26:00,Delayed
FL-0335,CX103,Cathay Pacific,Hong Kong,2024-01-21 15:42:00,On Time
FL-0336,QF1,Qantas,Singapore,2024-01-21 16:32:00,On Time
FL-0337,QR007,Qatar Airways,Doha,2024-01-21 20:49:00,On Time
FL-0338,UA839,United Airlines,Los Angeles,2024-01-21 20:56:00,Delayed
FL-0339,EK413,Emirates,Dubai,2024-01-21 21:11:00,On Time
FL-0340,GA715,Garuda Indonesia,Bali,2024-01-22 07:33:00,Delayed
FL-0341,SQ211,Singapore Airlines,Singapore,2024-01-22 08:03:00,On Time
FL-0342,MH122,Malaysia Airlines,Kuala Lumpur,2024-01-22 08:42:00,On Time
FL-0343,TG476,Thai Airways,Bangkok,2024-01-22 09:04:00,On Time
FL-0344,MU502,China Eastern,Shanghai,2024-01-22 09:20:00,On Time
FL-0345,PR211,Philippine Airlines,Manila,2024-01-22 09:32:00,Delayed
FL-0346,OZ602,Asiana Airlines,Seoul,2024-01-22 09:46:00,Delayed
