customer_id,nationality,age_group
C-00113,,
C-00114,IN,20s
C-00115,CN,Under 20
C-00116,CA,Under 20
C-00117,JP,30s
C-00118,CN,50s
C-00119,AU,60+
C-00120,GB,60+
C-00121,CA,60+
C-00122,SG,30s
C-00123,KR,60+
C-00124,,
C-00125,JP,50s
C-00126,US,40s
C-00127,AU,30s
C-00128,US,Under 20
C-00129,TH,50s
C-00130,TH,20s
C-00131,GB,30s
C-00132,CN,Under 20
C-00133,JP,60+
C-00134,IN,40s
C-00135,AU,40s
C-00136,SG,40s
C-00137,SG,30s
C-00138,KR,30s
C-00139,GB,Under 20
C-00140,,
C-00141,CN,50s
C-00142,KR,60+
C-00143,NZ,20s
C-00144,JP,Under 20
C-00145,SG,20s
C-00146,CN,40s
C-00147,CN,50s
C-00148,AU,60+
C-00149,TH,Under 20
C-00150,US,50s
C-00151,SG,50s
C-00152,PH,30s
C-00153,PH,30s
C-00154,AU,Under 20
C-00155,GB,60+
C-00156,NZ,50s
C-00157,KR,60+
C-00158,AU,50s
C-00159,,
C-00160,IN,60+
C-00161,CA,Under 20
C-00162,US,40s
C-00163,GB,50s
C-00164,AU,50s
C-00165,,
C-00166,,
C-00167,CN,40s
C-00168,CA,30s
C-00169,CN,50s
C-00170,KR,60+
C-00171,TH,60+
C-00172,US,Under 20
C-00173,,
C-00174,,
C-00175,JP,60+
C-00176,CN,30s
C-00177,KR,50s
C-00178,,
C-00179,SG,40s
C-00180,AU,50s
C-00181,GB,40s
C-00182,SG,Under 20
C-00183,NZ,40s
C-00184,,
C-00185,CN,40s
C-00186,PH,60+
C-00187,NZ,20s
C-00188,US,50s
C-00189,IN,40s
C-00190,JP,30s
C-00191,TH,40s
C-00192,CN,50s
C-00193,AU,60+
C-00194,TH,20s
C-00195,CN,60+
C-00196,CN,20s
C-00197,CN,Under 20
C-00198,JP,50s
C-00199,TH,40s
C-00200,AU,30s
C-00201,GB,40s
C-00202,PH,60+
C-00203,CN,Under 20
C-00204,CN,50s
C-00205,CN,40s
C-00206,CN,40s
C-00207,AU,40s
C-00208,GB,40s
C-00209,CA,40s
C-00210,KR,50s
C-00211,CN,60+
C-00212,SG,50s
C-00213,NZ,50s
C-00214,PH,40s
C-00215,US,40s
C-00216,CN,40s
C-00217,,
C-00218,,
C-00219,CN,50s
C-00220,JP,50s
C-00221,AU,20s
C-00222,IN,50s
C-00223,,
C-00224,US,Under 20
C-00225,,
C-00226,,
C-00227,KR,60+
C-00228,SG,20s
C-00229,IN,Under 20
C-00230,CN,60+
C-00231,PH,30s
C-00232,GB,20s
C-00233,AU,50s
C-00234,US,20s
C-00235,PH,40s
C-00236,KR,50s
C-00237,NZ,60+
C-00238,CN,60+
C-00239,CN,Under 20
C-00240,TH,60+
C-00241,GB,20s
C-00242,CN,50s
C-00243,TH,40s
C-00244,JP,50s
C-00245,GB,50s
C-00246,CA,50s
C-00247,JP,50s
C-00248,TH,Under 20
C-00249,PH,40s
C-00250,PH,Under 20
C-00251,NZ,60+
C-00252,US,40s
C-00253,SG,40s
C-00254,TH,20s
C-00255,KR,60+
C-00256,JP,Under 20
C-00257,JP,30s
C-00258,CN,20s
C-00259,TH,60+
C-00260,KR,30s
C-00261,AU,Under 20
C-00262,US,60+
C-00263,US,30s
C-00264,,
C-00265,IN,60+
C-00266,AU,60+
C-00267,KR,50s
C-00268,AU,20s
C-00269,CN,40s
C-00270,,
C-00271,CN,30s
C-00272,CN,40s
C-00273,KR,30s
C-00274,AU,60+
C-00275,US,20s
C-00276,CN,Under 20
C-00277,CA,60+
C-00278,US,Under 20
C-00279,KR,40s
C-00280,TH,60+
C-00281,JP,30s
C-00282,,
C-00283,TH,20s
C-00284,KR,Under 20
C-00285,NZ,30s
C-00286,,
C-00287,GB,30s
C-00288,NZ,50s
C-00289,IN,Under 20
C-00290,PH,30s
C-00291,JP,40s
C-00292,CN,60+
C-00293,,
C-00294,KR,40s
C-00295,,
C-00296,GB,Under 20
C-00297,CN,30s
C-00298,,
C-00299,AU,20s
C-00300,JP,50s
C-00301,AU,50s
C-00302,,
C-00303,NZ,20s
C-00304,IN,Under 20
C-00305,NZ,50s
C-00306,IN,30s
C-00307,IN,Under 20
C-00308,GB,Under 20
C-00309,NZ,50s
C-00310,AU,40s
C-00311,US,50s
C-00312,CN,20s
C-00313,US,20s
C-00314,,
C-00315,TH,30s
C-00316,AU,50s
C-00317,JP,40s
C-00318,GB,50s
C-00319,TH,Under 20
C-00320,AU,60+
C-00321,KR,50s
C-00322,,
C-00323,JP,60+
C-00324,CN,20s
C-00325,,
C-00326,PH,20s
C-00327,NZ,Under 20
C-00328,CN,30s
C-00329,NZ,40s
C-00330,KR,Under 20
C-00331,US,30s
C-00332,JP,60+
C-00333,CN,30s
C-00334,CA,60+
C-00335,,
C-00336,CN,60+
C-00337,US,60+
C-00338,AU,50s
C-00339,KR,20s
C-00340,CA,Under 20
C-00341,AU,40s
C-00342,JP,50s
C-00343,CN,30s
C-00344,JP,40s
C-00345,CN,40s
C-00346,NZ,50s
C-00347,AU,20s
C-00348,CN,40s
C-00349,,
C-00350,AU,30s
C-00351,GB,40s
C-00352,,
C-00353,GB,Under 20
C-00354,JP,40s
C-00355,NZ,20s
C-00356,AU,Under 20
C-00357,,
C-00358,KR,60+
C-00359,CN,Under 20
C-00360,GB,Under 20
C-00361,GB,50s
C-00362,,
C-00363,JP,20s
C-00364,CN,20s
C-00365,,
C-00366,CN,20s
C-00367,US,30s
C-00368,IN,30s
C-00369,AU,60+
C-00370,TH,Under 20
C-00371,,
C-00372,US,20s
C-00373,US,40s
C-00374,KR,30s
C-00375,TH,50s
C-00376,AU,30s
C-00377,TH,30s
C-00378,SG,20s
C-00379,CN,Under 20
C-00380,CN,50s
C-00381,NZ,30s
C-00382,CN,30s
C-00383,NZ,40s
C-00384,CN,60+
C-00385,CN,50s
C-00386,CN,40s
C-00387,CN,40s
C-00388,,
C-00389,CN,50s
C-00390,US,30s
C-00391,KR,40s
C-00392,US,20s
C-00393,JP,Under 20
C-00394,NZ,Under 20
C-00395,CN,Under 20
C-00396,,
C-00397,IN,Under 20
C-00398,JP,30s
C-00399,NZ,40s
C-00400,NZ,20s
C-00401,AU,20s
C-00402,CN,50s
C-00403,IN,30s
C-00404,NZ,Under 20
C-00405,CN,40s
C-00406,CN,40s
C-00407,,
C-00408,AU,60+
C-00409,KR,50s
C-00410,TH,30s
C-00411,US,20s
C-00412,NZ,Under 20
C-00413,CN,30s
C-00414,US,60+
C-00415,US,50s
C-00416,NZ,40s
C-00417,,
C-00418,CN,60+
C-00419,PH,60+
C-00420,,
C-00421,PH,60+
C-00422,,
C-00423,AU,30s
C-00424,CN,20s
C-00425,CN,60+
C-00426,US,60+
C-00427,GB,40s
C-00428,AU,50s
C-00429,NZ,20s
C-00430,SG,40s
C-00431,PH,60+
C-00432,CN,40s
C-00433,KR,60+
C-00434,IN,30s
C-00435,AU,20s
C-00436,AU,Under 20
C-00437,TH,Under 20
C-00438,CN,20s
C-00439,CN,20s
C-00440,US,Under 20
C-00441,GB,50s
C-00442,,
C-00443,NZ,30s
C-00444,NZ,30s
C-00445,CN,40s
C-00446,,
C-00447,NZ,50s
C-00448,KR,20s
C-00449,CN,Under 20
C-00450,,
C-00451,JP,20s
C-00452,CN,40s
C-00453,IN,20s
C-00454,US,40s
C-00455,CN,Under 20
C-00456,IN,60+
C-00457,SG,40s
C-00458,IN,Under 20
C-00459,US,20s
C-00460,AU,40s
C-00461,NZ,30s
C-00462,GB,30s
C-00463,CN,60+
C-00464,KR,60+
C-00465,AU,40s
C-00466,KR,40s
C-00467,IN,50s
C-00468,US,20s
C-00469,SG,40s
C-00470,AU,Under 20
C-00471,US,50s
C-00472,NZ,40s
C-00473,JP,40s
C-00474,CN,40s
C-00475,KR,60+
C-00476,AU,20s
C-00477,IN,50s
C-00478,IN,50s
C-00479,PH,50s
C-00480,CN,60+
C-00481,AU,60+
C-00482,CN,30s
C-00483,,
C-00484,IN,60+
C-00485,JP,40s
C-00486,CN,60+
C-00487,KR,40s
C-00488,,
C-00489,,
C-00490,GB,50s
C-00491,AU,Under 20
C-00492,CN,30s
C-00493,AU,60+
C-00494,,
C-00495,US,60+
C-00496,PH,20s
C-00497,JP,50s
C-00498,CN,40s
C-00499,JP,60+
C-00500,NZ,40s
C-00501,IN,Under 20
C-00502,JP,50s
C-00503,TH,20s
C-00504,KR,60+
C-00505,NZ,50s
C-00506,CN,40s
C-00507,NZ,Under 20
C-00508,CN,60+
C-00509,KR,40s
C-00510,IN,50s
C-00511,TH,30s
C-00512,IN,30s
C-00513,IN,50s
C-00514,JP,40s
C-00515,KR,20s
C-00516,PH,40s
C-00517,NZ,Under 20
C-00518,,
C-00519,GB,20s
C-00520,NZ,20s
C-00521,,
C-00522,NZ,30s
C-00523,IN,40s
C-00524,NZ,60+
C-00525,SG,30s
C-00526,IN,40s
C-00527,TH,20s
C-00528,US,Under 20
C-00529,,
C-00530,US,50s
C-00531,US,50s
C-00532,CN,Under 20
C-00533,US,30s
C-00534,AU,20s
C-00535,PH,30s
C-00536,,
C-00537,KR,30s
C-00538,,
C-00539,PH,20s
C-00540,CA,40s
C-00541,,
C-00542,PH,40s
C-00543,IN,40s
C-00544,,
C-00545,CN,50s
C-00546,SG,20s
C-00547,GB,40s
C-00548,,
C-00549,,
C-00550,IN,50s
C-00551,GB,Under 20
C-00552,JP,30s
C-00553,CN,60+
C-00554,GB,40s
C-00555,JP,40s
C-00556,PH,50s
C-00557,CN,30s
C-00558,CN,30s
C-00559,,
C-00560,KR,50s
C-00561,,
C-00562,AU,20s
C-00563,JP,60+
C-00564,TH,Under 20
C-00565,US,60+
C-00566,GB,60+
C-00567,,
C-00568,JP,50s
C-00569,,
C-00570,US,20s
C-00571,CN,20s
C-00572,JP,Under 20
C-00573,TH,30s
C-00574,KR,20s
C-00575,CN,Under 20
C-00576,PH,20s
C-00577,,
C-00578,,
C-00579,KR,40s
C-00580,US,30s
C-00581,SG,Under 20
C-00582,AU,40s
C-00583,TH,60+
C-00584,CN,Under 20
C-00585,IN,20s
C-00586,NZ,60+
C-00587,NZ,50s
C-00588,CN,50s
C-00589,CN,20s
C-00590,CA,Under 20
C-00591,NZ,50s
C-00592,KR,30s
C-00593,US,40s
C-00594,GB,Under 20
C-00595,US,60+
C-00596,,
C-00597,PH,20s
C-00598,KR,60+
C-00599,,
C-00600,,
C-00601,SG,Under 20
C-00602,GB,30s
C-00603,CA,30s
C-00604,GB,40s
C-00605,KR,Under 20
C-00606,SG,20s
C-00607,IN,20s
C-00608,AU,50s
C-00609,GB,20s
C-00610,CN,60+
C-00611,AU,60+
C-00612,JP,40s
C-00613,CN,60+
C-00614,KR,Under 20
C-00615,GB,40s
C-00616,GB,60+
C-00617,KR,40s
C-00618,CN,20s
C-00619,AU,50s
C-00620,IN,40s
C-00621,US,Under 20
C-00622,AU,40s
C-00623,GB,30s
C-00624,TH,60+
C-00625,CN,50s
C-00626,CN,50s
C-00627,CN,Under 20
C-00628,SG,60+
C-00629,AU,20s
C-00630,IN,20s
C-00631,,
C-00632,KR,Under 20
C-00633,NZ,Under 20
C-00634,JP,Under 20
C-00635,GB,50s
C-00636,NZ,60+
C-00637,AU,20s
C-00638,AU,40s
C-00639,,
C-00640,IN,50s
C-00641,,
C-00642,,
C-00643,CN,40s
C-00644,GB,20s
C-00645,KR,20s
C-00646,CA,50s
C-00647,PH,60+
C-00648,CA,Under 20
C-00649,CN,40s
C-00650,US,50s
C-00651,GB,60+
C-00652,TH,20s
C-00653,IN,Under 20
C-00654,US,60+
C-00655,,
C-00656,JP,20s
C-00657,,
C-00658,KR,60+
C-00659,CN,60+
C-00660,NZ,60+
C-00661,,
C-00662,KR,60+
C-00663,CN,30s
C-00664,CN,50s
C-00665,AU,Under 20
C-00666,CN,40s
C-00667,KR,60+
C-00668,,
C-00669,CN,60+
C-00670,PH,20s
C-00671,TH,Under 20
C-00672,IN,50s
C-00673,IN,50s
C-00674,PH,40s
C-00675,GB,20s
C-00676,TH,60+
C-00677,US,30s
C-00678,TH,50s
C-00679,AU,20s
C-00680,US,40s
C-00681,JP,Under 20
C-00682,SG,50s
C-00683,CN,40s
C-00684,CN,Under 20
C-00685,SG,30s
C-00686,CA,50s
C-00687,KR,60+
C-00688,AU,40s
C-00689,JP,20s
C-00690,CN,Under 20
C-00691,NZ,60+
C-00692,KR,20s
C-00693,CN,40s
C-00694,IN,Under 20
C-00695,KR,30s
C-00696,GB,40s
C-00697,,
C-00698,CN,30s
C-00699,PH,60+
C-00700,CN,Under 20
C-00701,KR,30s
C-00702,KR,60+
C-00703,IN,50s
C-00704,,
C-00705,,
C-00706,,
C-00707,,
C-00708,CN,50s
C-00709,US,50s
C-00710,,
C-00711,CN,Under 20
C-00712,JP,30s
C-00713,NZ,Under 20
C-00714,CN,50s
C-00715,US,40s
C-00716,IN,20s
C-00717,IN,20s
C-00718,CN,60+
C-00719,TH,Under 20
C-00720,US,60+
C-00721,SG,Under 20
C-00722,KR,40s
C-00723,CN,50s
C-00724,US,40s
C-00725,KR,40s
C-00726,US,Under 20
C-00727,,
C-00728,IN,20s
C-00729,JP,Under 20
C-00730,PH,20s
C-00731,IN,20s
C-00732,GB,Under 20
C-00733,,
C-00734,IN,40s
C-00735,CA,40s
C-00736,IN,Under 20
C-00737,US,Under 20
C-00738,KR,30s
C-00739,CN,30s
C-00740,,
C-00741,CN,30s
C-00742,,
C-00743,NZ,30s
C-00744,CN,40s
C-00745,AU,40s
C-00746,IN,40s
C-00747,GB,30s
C-00748,KR,50s
C-00749,NZ,20s
C-00750,US,40s
C-00751,CA,Under 20
C-00752,AU,20s
C-00753,TH,50s
C-00754,TH,60+
C-00755,NZ,60+
C-00756,CN,30s
C-00757,SG,30s
C-00758,NZ,20s
C-00759,CA,20s
C-00760,CN,20s
C-00761,AU,30s
C-00762,IN,60+
C-00763,,
C-00764,CN,20s
C-00765,AU,30s
C-00766,GB,50s
C-00767,GB,30s
C-00768,CN,60+
C-00769,,
C-00770,,
C-00771,CN,40s
C-00772,US,50s
C-00773,IN,30s
C-00774,AU,60+
C-00775,US,20s
C-00776,,
C-00777,AU,Under 20
C-00778,CN,40s
C-00779,US,60+
C-00780,,
C-00781,US,50s
C-00782,,
C-00783,AU,60+
C-00784,GB,40s
C-00785,NZ,40s
C-00786,US,50s
C-00787,AU,40s
C-00788,KR,20s
C-00789,IN,30s
C-00790,CN,60+
C-00791,US,Under 20
C-00792,AU,50s
C-00793,NZ,60+
C-00794,NZ,60+
C-00795,,
C-00796,PH,20s
C-00797,AU,30s
C-00798,AU,40s
C-00799,AU,Under 20
C-00800,IN,50s
C-00801,AU,40s
C-00802,CN,60+
C-00803,CN,20s
C-00804,AU,30s
C-00805,TH,20s
C-00806,CN,30s
C-00807,KR,Under 20
C-00808,IN,Under 20
C-00809,AU,20s
C-00810,CN,20s
C-00811,CN,60+
C-00812,CN,40s
C-00813,AU,20s
C-00814,IN,30s
C-00815,PH,60+
C-00816,CN,30s
C-00817,NZ,30s
C-00818,US,Under 20
C-00819,GB,40s
C-00820,CN,60+
C-00821,,
C-00822,SG,20s
C-00823,US,60+
C-00824,CA,20s
C-00825,GB,60+
C-00826,CN,40s
C-00827,NZ,Under 20
C-00828,CN,40s
C-00829,US,30s
C-00830,AU,40s
C-00831,NZ,20s
C-00832,CN,60+
C-00833,KR,40s
C-00834,AU,40s
C-00835,NZ,20s
C-00836,GB,30s
C-00837,PH,30s
C-00838,NZ,60+
C-00839,CN,20s
C-00840,IN,60+
C-00841,CN,60+
C-00842,GB,30s
C-00843,CN,20s
C-00844,IN,40s
C-00845,KR,30s
C-00846,,
C-00847,CN,40s
C-00848,IN,40s
C-00849,IN,50s
C-00850,NZ,20s
C-00851,CN,50s
C-00852,IN,20s
C-00853,AU,Under 20
C-00854,GB,30s
C-00855,KR,20s
C-00856,IN,50s
C-00857,AU,Under 20
C-00858,CN,50s
C-00859,,
C-00860,JP,60+
C-00861,US,Under 20
C-00862,US,20s
C-00863,NZ,40s
C-00864,JP,Under 20
C-00865,CN,50s
C-00866,US,50s
C-00867,AU,20s
C-00868,CN,20s
C-00869,,
C-00870,TH,40s
C-00871,KR,30s
C-00872,US,20s
C-00873,CN,20s
C-00874,TH,60+
C-00875,PH,30s
C-00876,US,20s
C-00877,US,60+
C-00878,PH,50s
C-00879,CN,20s
C-00880,GB,50s
C-00881,AU,60+
C-00882,,
C-00883,IN,40s
C-00884,GB,Under 20
C-00885,US,60+
C-00886,,
C-00887,GB,20s
C-00888,KR,Under 20
C-00889,,
C-00890,CN,50s
C-00891,,
C-00892,IN,50s
C-00893,IN,Under 20
C-00894,AU,20s
C-00895,TH,20s
C-00896,KR,40s
C-00897,CN,60+
C-00898,JP,30s
C-00899,,
C-00900,JP,30s
C-00901,,
C-00902,,
C-00903,,
C-00904,KR,Under 20
C-00905,,
C-00906,GB,Under 20
C-00907,TH,50s
C-00908,KR,60+
C-00909,,
C-00910,,
C-00911,KR,20s
C-00912,AU,50s
C-00913,CA,40s
C-00914,US,50s
C-00915,IN,Under 20
C-00916,KR,20s
C-00917,CN,20s
C-00918,CA,30s
C-00919,CN,20s
C-00920,CN,20s
C-00921,,
C-00922,,
C-00923,TH,Under 20
C-00924,SG,50s
C-00925,,
C-00926,NZ,Under 20
C-00927,US,60+
C-00928,JP,Under 20
C-00929,CN,60+
C-00930,,
C-00931,SG,Under 20
C-00932,CN,40s
C-00933,AU,50s
C-00934,KR,30s
C-00935,,
C-00936,GB,60+
C-00937,CN,40s
C-00938,AU,50s
C-00939,US,50s
C-00940,NZ,40s
C-00941,AU,50s
C-00942,AU,60+
C-00943,KR,Under 20
C-00944,NZ,50s
C-00945,CN,60+
C-00946,NZ,Under 20
C-00947,,
C-00948,SG,20s
C-00949,US,60+
C-00950,KR,40s
C-00951,,
C-00952,JP,30s
C-00953,NZ,60+
C-00954,CN,Under 20
C-00955,,
C-00956,CN,60+
C-00957,SG,40s
C-00958,KR,50s
C-00959,GB,30s
C-00960,KR,50s
C-00961,SG,20s
C-00962,AU,Under 20
C-00963,KR,60+
C-00964,US,60+
C-00965,CN,30s
C-00966,CN,20s
C-00967,CN,60+
C-00968,US,40s
C-00969,JP,30s
C-00970,AU,40s
C-00971,US,60+
C-00972,,
C-00973,TH,30s
C-00974,,
C-00975,TH,40s
C-00976,SG,40s
C-00977,CN,60+
C-00978,JP,Under 20
C-00979,AU,60+
C-00980,US,50s
C-00981,KR,Under 20
C-00982,GB,Under 20
C-00983,CN,50s
C-00984,CN,60+
C-00985,CN,50s
C-00986,CN,20s
C-00987,GB,40s
C-00988,CN,20s
C-00989,KR,50s
C-00990,AU,Under 20
C-00991,,
C-00992,CN,50s
C-00993,CN,Under 20
C-00994,SG,30s
C-00995,JP,30s
C-00996,TH,40s
C-00997,CN,60+
C-00998,CN,Under 20
C-00999,US,Under 20
C-01000,SG,30s
C-01001,GB,Under 20
C-01002,US,20s
C-01003,,
C-01004,AU,Under 20
C-01005,,
C-01006,KR,60+
C-01007,CN,Under 20
C-01008,PH,20s
C-01009,GB,Under 20
C-01010,CN,40s
C-01011,JP,30s
C-01012,KR,50s
C-01013,,
C-01014,,
C-01015,GB,50s
C-01016,NZ,30s
C-01017,CA,60+
C-01018,AU,20s
C-01019,GB,Under 20
C-01020,AU,60+
C-01021,CA,40s
C-01022,CA,20s
C-01023,US,50s
C-01024,,
C-01025,GB,30s
C-01026,JP,50s
C-01027,IN,Under 20
C-01028,CN,50s
C-01029,AU,40s
C-01030,US,60+
C-01031,,
C-01032,CA,50s
C-01033,GB,Under 20
C-01034,IN,40s
C-01035,US,20s
C-01036,CN,40s
C-01037,AU,30s
C-01038,US,20s
C-01039,GB,30s
C-01040,GB,20s
C-01041,KR,50s
C-01042,US,40s
C-01043,CN,50s
C-01044,CN,30s
C-01045,PH,20s
C-01046,PH,Under 20
C-01047,KR,20s
C-01048,CA,20s
C-01049,GB,Under 20
C-01050,US,20s
C-01051,IN,30s
C-01052,PH,50s
C-01053,,
C-01054,CN,30s
C-01055,GB,Under 20
C-01056,PH,50s
C-01057,AU,30s
C-01058,US,20s
C-01059,CN,60+
C-01060,JP,60+
C-01061,NZ,20s
C-01062,NZ,50s
C-01063,CN,40s
C-01064,CN,20s
C-01065,NZ,60+
C-01066,AU,20s
C-01067,,
C-01068,CN,20s
C-01069,AU,Under 20
C-01070,GB,20s
C-01071,NZ,20s
C-01072,CA,40s
C-01073,US,Under 20
C-01074,TH,30s
C-01075,TH,Under 20
C-01076,GB,50s
C-01077,,
C-01078,SG,30s
C-01079,,
C-01080,US,60+
C-01081,AU,20s
C-01082,CN,50s
C-01083,KR,Under 20
C-01084,AU,60+
C-01085,,
C-01086,KR,40s
C-01087,,
C-01088,PH,40s
C-01089,KR,60+
C-01090,GB,30s
C-01091,KR,Under 20
C-01092,GB,50s
C-01093,CN,Under 20
C-01094,JP,60+
C-01095,CN,60+
C-01096,TH,60+
C-01097,US,50s
C-01098,CN,40s
C-01099,IN,20s
C-01100,JP,Under 20
C-01101,SG,30s
C-01102,KR,Under 20
C-01103,KR,40s
C-01104,US,40s
C-01105,NZ,60+
C-01106,CA,40s
C-01107,,
C-01108,,
C-01109,GB,60+
C-01110,US,Under 20
C-01111,AU,60+
C-01112,CN,20s
C-01113,,
C-01114,,
C-01115,GB,40s
C-01116,,
C-01117,US,40s
C-01118,CN,20s
C-01119,US,50s
C-01120,CN,20s
C-01121,KR,60+
C-01122,GB,40s
C-01123,US,Under 20
C-01124,CN,30s
C-01125,AU,60+
C-01126,PH,20s
C-01127,GB,60+
C-01128,CN,60+
C-01129,,
C-01130,US,50s
C-01131,GB,40s
C-01132,CN,40s
C-01133,GB,30s
C-01134,,
C-01135,CN,60+
C-01136,NZ,Under 20
C-01137,NZ,20s
C-01138,CN,Under 20
C-01139,,
C-01140,PH,40s
C-01141,CN,40s
C-01142,CN,40s
C-01143,PH,30s
C-01144,,
C-01145,CN,30s
C-01146,NZ,20s
C-01147,PH,60+
C-01148,SG,40s
C-01149,TH,30s
C-01150,GB,50s
C-01151,CN,50s
C-01152,NZ,Under 20
C-01153,,
C-01154,CN,Under 20
C-01155,GB,50s
C-01156,NZ,30s
C-01157,CN,60+
C-01158,,
C-01159,CN,40s
C-01160,IN,20s
C-01161,CN,30s
C-01162,KR,50s
C-01163,CN,30s
C-01164,AU,50s
C-01165,,
C-01166,JP,30s
C-01167,CN,20s
C-01168,US,50s
C-01169,IN,60+
C-01170,IN,30s
C-01171,TH,60+
C-01172,PH,20s
C-01173,PH,30s
C-01174,AU,Under 20
C-01175,KR,50s
C-01176,CN,50s
C-01177,SG,20s
C-01178,CN,60+
C-01179,CN,Under 20
C-01180,IN,30s
C-01181,IN,40s
C-01182,JP,40s
C-01183,,
C-01184,KR,60+
C-01185,PH,50s
C-01186,AU,Under 20
C-01187,CA,20s
C-01188,,
C-01189,AU,60+
C-01190,CN,30s
C-01191,,
C-01192,JP,50s
C-01193,TH,20s
C-01194,US,50s
C-01195,SG,50s
C-01196,TH,50s
C-01197,US,60+
C-01198,IN,40s
C-01199,,
C-01200,KR,50s
C-01201,CA,50s
C-01202,GB,30s
C-01203,CN,60+
C-01204,AU,20s
C-01205,KR,Under 20
C-01206,SG,30s
C-01207,,
C-01208,CA,Under 20
C-01209,,
C-01210,CN,Under 20
C-01211,JP,50s
C-01212,CA,60+
C-01213,,
C-01214,CN,50s
C-01215,GB,60+
C-01216,CN,60+
C-01217,,
C-01218,CN,Under 20
C-01219,NZ,50s
C-01220,IN,30s
C-01221,KR,Under 20
C-01222,KR,40s
C-01223,CN,50s
C-01224,,
C-01225,,
C-01226,AU,40s
C-01227,CN,30s
C-01228,US,40s
C-01229,AU,50s
C-01230,,
C-01231,JP,60+
C-01232,,
C-01233,GB,50s
C-01234,CN,60+
C-01235,,
C-01236,,
C-01237,SG,40s
C-01238,GB,40s
C-01239,,
C-01240,US,40s
C-01241,GB,60+
C-01242,KR,20s
C-01243,US,Under 20
C-01244,PH,30s
C-01245,GB,30s
C-01246,NZ,50s
C-01247,,
C-01248,NZ,60+
C-01249,NZ,30s
C-01250,TH,50s
C-01251,JP,50s
C-01252,CN,40s
C-01253,AU,60+
C-01254,GB,Under 20
C-01255,GB,30s
C-01256,US,40s
C-01257,CN,20s
C-01258,,
C-01259,NZ,20s
C-01260,US,40s
C-01261,US,50s
C-01262,CN,30s
C-01263,,
C-01264,IN,Under 20
C-01265,CN,50s
C-01266,CN,Under 20
C-01267,AU,50s
C-01268,CN,Under 20
C-01269,GB,40s
C-01270,,
C-01271,AU,40s
C-01272,CN,60+
C-01273,SG,40s
C-01274,CA,Under 20
C-01275,,
C-01276,CN,30s
C-01277,,
C-01278,KR,40s
C-01279,JP,Under 20
C-01280,,
C-01281,CN,Under 20
C-01282,IN,30s
C-01283,CN,30s
C-01284,CA,Under 20
C-01285,KR,60+
C-01286,TH,Under 20
C-01287,PH,60+
C-01288,SG,60+
C-01289,KR,Under 20
C-01290,IN,40s
C-01291,NZ,40s
C-01292,AU,50s
C-01293,NZ,20s
C-01294,JP,Under 20
C-01295,,
C-01296,CN,30s
C-01297,TH,40s
C-01298,NZ,40s
C-01299,SG,20s
C-01300,,
C-01301,,
C-01302,,
C-01303,TH,60+
